Level,Find,Part Number,Rev,Description,Qty,UOM,Type,Ref Des,Eff From,Eff To
3,50,    EC-51038,B,Crystal 16MHz,4,PC,,"D19,D20,D21,D22",2025-05-22,
3,60,    EC-51042,A,Capacitor 100nF 50V,6,EA,,"C23, C24, C25, C26, C27, C28",05/10/2026,
3,70,    SA-1053,D,Power Supply,2,,item,,2024-11-06,
4,10,      2199-374,01,Foam Tape 12mm,3.096,G,Purchased,,2026-08-20,
4,20,      2201-336,D,Foam Tape 12mm,0.233,G,Standard,,2024-09-14,
4,30,      EC-51050,C,Diode Schottky 40V,2,EA,vendor,C29-C30,,
4,40,      EC-51057,C,MOSFET N-Ch 30V,4,EA,Item,"D31,D32,D33,D34",2025-07-28,2026-07-28
4,50,      2203-028,A,Solder Paste SAC305,0,G,,,06/14/2025,
4,60,      EC-51064,,Diode Schottky 40V,1,,Item,C35,05/07/2024,05/07/2025
3,80,    SA-1056,1,Gearbox,1,Each,Item,,2024-04-19,
4,10,      EC-51073,-,Resistor 10k 0603,1,PC,Item,U36,,
4,20,      EC-51074,A,Diode Schottky 40V,2,EA,Subcontract,"C37,C38",2023-02-05,
4,30,      2204-308,A,Grommet 8mm,1,EA,vendor,,2023-09-18,
4,40,      2209-201,A,Washer M6 Plain,2,EA,vendor,,2024-10-27,
4,50,      2212-541,B,Braided Sleeve 10mm,3.563,SQM,Item,,,
4,60,      EC-51077,B,LED Green 0603,2,EA,,"D39,D40",2026-10-10,
4,70,      2213-476,01,O-Ring 24mm Viton,8,EA,item,,2026-11-02,2027-11-02
4,80,      2219-099,-,Solder Paste SAC305,0.02,ML,Buy,,2025-10-18,
4,90,      SA-1060,C,Bracket Set,1,EA,Standard,,2024-08-04,
5,10,        0453-204,B,Washer M6 Plain A4,6,EA,Item,,2023-04-06,
5,20,        2225-588,A,Bushing Bronze 10mm,2,EA,Vendor,,2025-05-10,
5,30,        EC-51078,,Crystal 16MHz,1,EA,,U41,2024-12-01,
5,40,        EC-51087,B,Crystal 16MHz,1,EA,,U42,2026-04-09,
4,100,      EC-51090,-,Crystal 16MHz,3,ea,Subcontract,"C43,C44,C45",2024-01-12,
4,110,      2226-603,A,Wire 0.75mm2 Red,3.746,KG,Purchased,,2023-12-09,
4,120,      0453-119,B,Hex Bolt M6x20 A4,1,EA,Item,,2026-04-05,
3,90,    SA-1061,A,Filter Cartridge,1,EA,Item,,2024-05-12,2025-05-12
4,10,      0461-018,,Nut M6 Nyloc A4,1,Ea,Item,,2025-04-12,
4,20,      2229-690,B,Gasket PTFE 40mm,4,EA,Buy,,2024-06-08,2025-06-08
4,30,      0712-330,,O-Ring 24mm Viton,4,EA,Purchased,,2025-07-25,2026-07-25
4,40,      2231-416,A,Thread Locker Medium,,EA,Item,,2024-05-15,
4,50,      EC-51097,B,MOSFET N-Ch 30V,1,EA,Subcontract,C46,2026-03-18,
4,60,      2236-344,C,Retaining Ring 20mm,2,pcs,Standard,,2026-04-21,
2,90,  2241-470,,O-Ring 24mm Viton,4,EA,item,,2024-01-14,
2,100,  SA-1065,B,Drive Unit,1,,Item,,2025-08-26,
3,10,    EC-51099,02,MOSFET N-Ch 30V,1,Each,Item,L47,2025-09-11,
3,20,    SA-1067,C,Rotor Assembly,2,Each,Phantom,,,
4,10,      SA-1068,C,Power Supply,2,PCS,Item,,2024-02-13,
5,10,        2247-572,C,Standoff M3x10,1,EA,Standard,,2025-04-01,2026-04-01
5,20,        EC-51103,01,Voltage Regulator 3V3,3,EA,Subcontract,"U48,U49,U50",2023-05-17,
5,30,        2249-596,A,Sealant Silicone Clear,"1,312",MM,,,2025-07-10,
5,40,        2255-310,01,Tube PTFE 4x6mm,2.958,M,Item,,02/03/2024,
4,20,      2259-439,C,Hex Bolt M6x20,1,EA,Item,,2024-02-13,
4,30,      2261-142,-,Cable 4-Core Screened,0.636,MM,vendor,,2026-03-10,
4,40,      0712-330,,O-Ring 24mm Viton,1,PC,Vendor,,2025-01-03,
4,50,      SA-1069,01,Cable Harness,1,EA,Standard,,2026-07-14,
5,10,        0453-204,B,Washer M6 Plain A4,4,PC,,,2026-09-27,
5,20,        2267-737,01,Tube PTFE 4x6mm,3.779,KG,Standard,,2024-06-09,
5,30,        0712-330,,O-Ring 24mm Viton,2,EA,Item,,2024-04-07,
5,40,        EC-51104,B,MOSFET N-Ch 30V,2,Each,Purchased,"C51,C52",2024-10-21,
4,60,      EC-51105,01,Capacitor 100nF 50V,1,Ea,,C53,02/13/2026,
4,70,      2269-263,D,Terminal Block 4W,3,EA,Item,,2024-04-15,
4,80,      2270-251,,Heat Shrink 6mm,12,EA,Item,,2026-06-13,
4,90,      2274-184,01,Braided Sleeve 10mm,2.519,MM,Buy,,2025-02-16,
4,100,      2278-178,B,Cable 4-Core Screened,1.017,MM,Subcontract,,,
3,30,    EC-51107,02,Crystal 16MHz,4,Each,item,C54-C57,06/27/2024,
3,40,    2284-440,,Epoxy Adhesive 2-Part,0.02,G,item,,,
3,50,    2288-782,B,Grommet 8mm,8,PC,Vendor,,09/05/2026,09/05/2027
3,60,    2291-983,,Thread Locker Medium,0,ML,Standard,,2026-07-24,2027-07-24
3,70,    2295-346,-,Conformal Coating,0.02,G,ITEM,,01/28/2024,
3,80,    EC-51111,1,Voltage Regulator 3V3,3,EA,Subcontract,R58-R60,2023-04-02,2024-04-02
3,90,    EC-51116,C,Crystal 16MHz,2,pcs,Standard,"L61, L62",,
3,100,    2300-062,,Connector Housing 6P,2,EA,Pegged,,02/15/2025,
1,,WF-2000,B,Kestrel 620 Dosing Skid,1,EA,Item,,08/12/2026,
2,10,  SA-1072,01,Drive Unit,1,EA,Item,,2025-08-09,
3,10,    2304-045,,Isopropyl Alcohol,0,G,Vendor,,2025-05-12,
3,20,    2311-906,02,Retaining Ring 20mm,3,EA,item,,,
3,30,    EC-51117,2,Resistor 10k 0603,6,EA,Item,"R63, R64, R65, R66, R67, R68",2023-08-14,
3,40,    EC-51125,1,Diode Schottky 40V,4,ea,Purchased,U69-U72,2023-11-02,
3,50,    EC-51134,A,LED Green 0603,1,PCS,Item,D73,2024-04-05,
2,20,  SA-1073,01,Backplane,1,,item,,,
3,10,    2315-132,-,Dowel Pin 5x16,1,PC,ITEM,,2024-09-27,
3,20,    2319-749,D,Nut M6 Nyloc,2,PC,Item,,2024-09-09,
3,30,    SA-1074,A,Display Module,1,,Phantom Item,,2026-05-07,
4,10,      2321-729,,Silicone Grease,0,ML,Purchased,,,
4,20,      2323-775,-,Foam Tape 12mm,0.759,G,Item,,,
4,30,      2326-737,C,Wire 0.75mm2 Black,0.303,M,Buy,,2023-12-05,
4,40,      EC-51139,2,Voltage Regulator 3V3,3,PC,Item,"R74,R75,R76",2024-03-16,
4,50,      EC-51148,02,Crystal 16MHz,2,EA,Make,C77-C78,01/07/2023,01/07/2024
4,60,      EC-51151,A,LED Green 0603,2,EA,Buy,C79-C80,03/16/2024,
4,70,      2333-389,,Conformal Coating,0,G,Buy,,,
4,80,      2335-585,01,Washer M6 Plain,1,PCS,Buy,,2025-02-11,
4,90,      2338-825,-,Conformal Coating,0,EA,Pegged supply,,2026-03-27,
4,100,      2342-817,01,Connector Housing 6P,4,EA,,,03/03/2026,
4,110,      2344-793,C,Bushing Bronze 10mm,1,PC,vendor,,,
4,120,      EC-51159,A,Crystal 16MHz,2,EA,Item,C81-C82,2023-05-06,
3,40,    SA-1077,-,Filter Cartridge,1,ea,Item,,2024-02-11,
4,10,      2347-019,,Isopropyl Alcohol,0,G,Purchased,,,
4,20,      2349-314,D,Wire 0.75mm2 Red,2.9,KG,Standard,,2024-07-15,2025-07-15
4,30,      0453-204,A,Washer M6 Plain A4,1,,Subcontract,,,
4,40,      EC-51164,D,MOSFET N-Ch 30V,2,ea,Item,"R83, R84",2026-05-14,2024-03-01
4,50,      0453-119,A,Hex Bolt M6x20 A4,8,ea,,,09/26/2024,
4,60,      2354-138,-,Epoxy Adhesive 2-Part,0,ML,Buy,,2026-05-12,
3,50,    2360-656,-,Epoxy Adhesive 2-Part,0,G,Standard,,06/06/2025,
3,60,    2367-414,B,Sealant Silicone Clear,0.241,G,Vendor,,2025-06-21,
3,70,    SA-1080,A,Frame Weldment,1,,item,,06/26/2024,06/26/2025
4,10,      2369-186,A,Standoff M3x10,1,Each,Pegged supply,,2025-06-16,
4,20,      2376-817,A,Hex Bolt M6x20,4,,item,,2024-10-22,
4,30,      EC-51166,01,LED Green 0603,3,PC,,"U85,U86,U87",2024-02-05,
4,40,      2378-576,,Foam Tape 12mm,0.233,M,Buy,,2023-05-27,2024-05-27
4,50,      2381-274,-,Isopropyl Alcohol,0,,Item,,2025-02-08,
4,60,      2386-172,,Silicone Grease,0,EA,Item,,2024-12-26,2025-12-26
2,30,  2393-568,A,Spring 8N,1,EA,Vendor,,2024-09-24,
2,40,  0453-204,B,Washer M6 Plain A4,1,PCS,Item,,2026-06-21,
2,50,  SA-1084,C,Bracket Set,1,Each,Item,,2023-10-15,
3,10,    2394-993,,Bearing 6203-2RS,4,ea,Purchased,,2026-11-11,
3,20,    2397-214,-,Bearing 6203-2RS,12,EA,Buy,,2025-03-21,
3,30,    EC-51172,D,Inductor 4u7,6,EA,Purchased,"C88,C89,C90,C91,C92,C93",2025-07-23,
3,40,    SA-1086,C,Control Board,4,EA,Make,,,
4,10,      2404-848,B,Shaft 12mm Stainless,3,EA,Item,,06/17/2023,06/17/2024
4,20,      2410-938,,Hex Bolt M6x20,4,EA,,,04/02/2023,
4,30,      EC-51180,A,Crystal 16MHz,2,EA,Item,"C94, C95",2025-10-16,
4,40,      2417-460,-,Conformal Coating,0,G,Subcontract,,,
4,50,      2420-025,,Wire 0.75mm2 Black,"3,556",KG,ITEM,,2025-05-28,
4,60,      EC-51186,D,Capacitor 100nF 50V,2,PC,Item,U96-U97,2026-08-19,
4,70,      EC-51190,B,Capacitor 100nF 50V,2,ea,Purchased,"C98, C99",2024-05-23,
4,80,      2421-067,B,Nut M6 Nyloc,6,ea,item,,06/26/2023,
4,90,      EC-51194,C,Crystal 16MHz,6,,Item,"C100,C101,C102,C103,C104,C105",09/23/2024,
3,50,    0453-204,A,Washer M6 Plain A4,4,Ea,Pegged supply,,2026-04-04,2027-04-04
3,60,    2425-823,2,Grommet 8mm,4,pcs,Purchased,,04/20/2026,04/20/2027
3,70,    2427-571,A,Strip Copper 3mm,2.184,ML,Pegged,,2025-11-09,
3,80,    0712-330,A,O-Ring 24mm Viton,8,PCS,Item,,2024-05-03,
3,90,    EC-51198,01,Diode Schottky 40V,2,EA,Pegged supply,"C106,C107",2024-12-01,
3,100,    SA-1090,,Filter Cartridge,1,Each,Item,,,
4,10,      0453-204,-,Washer M6 Plain A4,1,PCS,Buy,,2023-06-26,
4,20,      2431-733,D,Spring 8N,2,PC,vendor,,2026-12-23,
4,30,      2437-365,B,Terminal Block 4W,2,PC,Standard,,2024-12-17,
4,40,      2442-829,02,Spring 8N,1,PC,Item,,2025-07-28,
4,50,      EC-51207,B,LED Green 0603,3,,Buy,C108-C110,2023-11-05,
4,60,      2444-583,C,Foam Tape 12mm,2.071,M,Pegged,,2023-02-14,
4,70,      EC-51213,A,LED Green 0603,4,PCS,Pegged supply,"C111,C112,C113,C114",2024-03-20,
4,80,      EC-51217,01,Crystal 16MHz,2,ea,Pegged supply,D115-D116,2025-02-20,
3,110,    SA-1092,A,Impeller Assembly,2,PCS,item,,2023-05-27,
4,10,      2449-869,C,Gasket PTFE 40mm,1,PCS,Item,,,
4,20,      EC-51226,D,LED Green 0603,3,EA,Item,"R117,R118,R119",05/26/2024,
4,30,      0453-204,A,Washer M6 Plain A4,12,Ea,Item,,2026-06-10,
4,40,      2456-258,1,Grommet 8mm,1,EA,Item,,2026-01-28,
4,50,      2459-494,A,Bushing Bronze 10mm,1,EA,vendor,,,
4,60,      EC-51230,2,Voltage Regulator 3V3,1,EA,Purchased,C120,2025-05-21,
3,120,    SA-1094,01,Impeller Assembly,1,ea,Item,,2023-07-16,
4,10,      2464-849,-,Cap Screw M4x12,2,PC,Item,,2026-12-07,
4,20,      2467-690,,O-Ring 24mm Viton,2,EA,Item,,2026-05-24,
4,30,      2474-592,A,Thread Locker Medium,0,G,Vendor,,,
4,40,      2480-343,C,Hex Bolt M6x20,1,EA,Item,,2026-11-04,
4,50,      2481-331,02,Shaft 12mm Stainless,6,PCS,Subcontract,,2023-04-28,
4,60,      2484-632,B,Extrusion 20x20 Slot,"4,082",G,,,2026-05-24,
4,70,      2491-211,C,Hex Bolt M6x20,1,PCS,Item,,06/24/2026,
4,80,      SA-1096,A,Pump Head,1,EA,Standard,,,
5,10,        2494-508,A,Washer M6 Plain,6,EA,item,,2024-09-08,
5,20,        0712-330,B,O-Ring 24mm Viton,1,Ea,ITEM,,07/02/2024,
5,30,        2498-761,-,Epoxy Adhesive 2-Part,0.02,ML,Buy,,2023-03-20,
5,40,        2504-018,B,Gasket PTFE 40mm,3,EA,Item,,08/06/2026,
5,50,        0712-330,,O-Ring 24mm Viton,4,PC,Vendor,,2023-10-07,
5,60,        2507-816,01,Extrusion 20x20 Slot,"0,503",KG,Item,,2023-10-10,
4,90,      SA-1097,01,Bracket Set,2,Ea,Item,,2023-10-06,
5,10,        EC-51234,A,Voltage Regulator 3V3,2,pcs,Subcontract,U121-U122,2024-04-16,
5,20,        EC-51243,C,Voltage Regulator 3V3,1,EA,Item,C123,,
5,30,        2511-260,A,O-Ring 24mm Viton,4,EA,Standard,,2024-01-19,
4,100,      SA-1098,B,Display Module,1,PC,item,,07/19/2025,
5,10,        2516-644,B,Nut M6 Nyloc,1,PC,Pegged,,10/07/2025,
5,20,        2519-538,-,Spring 8N,6,EA,Pegged supply,,10/16/2024,
5,30,        2521-525,C,Shaft 12mm Stainless,3,EA,Vendor,,2023-10-21,2024-10-21
4,110,      2527-222,A,Grommet 8mm,8,Ea,Item,,01/11/2024,
2,60,  SA-1102,A,Valve Block,1,EA,item,,2025-12-19,
3,10,    SA-1106,1,Sensor Stack,1,PCS,item,,2026-05-13,
4,10,      0712-330,A,O-Ring 24mm Viton,1,ea,Item,,2026-08-27,
4,20,      2534-070,1,Strip Copper 3mm,2.196,M,Item,,06/17/2025,
4,30,      0453-119,,Hex Bolt M6x20 A4,1,EA,Purchased,,09/17/2023,
4,40,      0453-204,,Washer M6 Plain A4,6,,,,,
4,50,      2537-950,01,Foam Tape 12mm,3.706,G,Item,,2026-09-22,
4,60,      2543-145,C,Foam Tape 12mm,2.472,ML,,,2025-09-25,
4,70,      2546-977,A,Extrusion 20x20 Slot,2.278,L,Buy,,,
3,20,    EC-51246,B,Crystal 16MHz,3,pcs,Subcontract,"L124,L125,L126",2023-03-25,
3,30,    SA-1107,C,Display Module,1,EA,Item,,2023-08-08,
4,10,      2552-098,C,Heat Shrink 6mm,24,EA,Standard,,2024-08-13,
4,20,      2558-184,01,Connector Housing 6P,1,EA,vendor,,01/09/2025,
4,30,      EC-51249,D,Crystal 16MHz,1,Each,Item,U127,2025-02-28,
4,40,      0453-119,,Hex Bolt M6x20 A4,2,EA,Buy,,2024-06-09,
4,50,      2561-350,D,Sheet Aluminium 1.5mm,0.551,SQM,Buy,,2026-03-05,
4,60,      SA-1109,01,Drive Unit,2,PC,Ph,,2026-09-26,
5,10,        0461-018,,Nut M6 Nyloc A4,3,PC,Standard,,2025-08-12,
5,20,        2568-819,,Thread Locker Medium,0,,Item,,2025-11-04,
5,30,        2569-379,,Spring 8N,6,EA,item,,2026-07-11,
4,70,      2576-969,B,Heat Shrink 6mm,1,EA,Item,,2025-01-26,
4,80,      2581-160,B,Shaft 12mm Stainless,2,EA,Item,,2023-12-07,
4,90,      EC-51254,B,Voltage Regulator 3V3,4,EA,ITEM,"L128, L129, L130, L131",03/10/2024,
4,100,      2584-594,-,Sealant Silicone Clear,2.815,MM,Item,,2023-10-27,
3,40,    2589-208,,Silicone Grease,0.02,,Make,,2026-08-16,
3,50,    SA-1113,01,Housing,1,EA,Item,,,
4,10,      2590-119,B,Gasket PTFE 40mm,12,PC,ITEM,,2025-11-22,
4,20,      SA-1114,,Manifold,1,PCS,Item,,06/23/2026,
5,10,        2597-394,B,Wire 0.75mm2 Black,3.778,L,Pegged supply,,10/08/2025,
5,20,        EC-51258,,Crystal 16MHz,4,ea,Item,"R132,R133,R134,R135",2026-08-20,2027-08-20
5,30,        0453-204,A,Washer M6 Plain A4,2,EA,Buy,,04/15/2026,
5,40,        0453-204,A,Washer M6 Plain A4,2,EA,Item,,2025-11-22,
5,50,        2602-369,C,Dowel Pin 5x16,8,EA,item,,11/18/2025,
5,60,        EC-51266,A,Inductor 4u7,2,EA,Item,C136-C137,05/11/2024,
5,70,        2606-589,01,Shaft 12mm Stainless,1,EA,Make,,2024-09-17,
5,80,        0453-204,-,Washer M6 Plain A4,8,Ea,Make,,,
4,30,      EC-51267,C,Diode Schottky 40V,1,ea,Item,C138,2023-03-14,
4,40,      EC-51273,C,Diode Schottky 40V,3,EA,Item,"C139,C140,C141",,
4,50,      SA-1115,02,Coupling Set,1,EA,Item,,2026-08-10,
5,10,        0712-330,A,O-Ring 24mm Viton,3,,Item,,2025-06-03,
5,20,        2611-058,-,Solder Paste SAC305,0,ML,Standard,,10/10/2025,
5,30,        EC-51278,-,Crystal 16MHz,3,EA,Item,"C142,C143,C144",2026-01-06,
5,40,        2615-350,A,Wire 0.75mm2 Red,0.063,SQM,Item,,2026-09-23,
5,50,        EC-51280,1,Inductor 4u7,1,EA,Item,L145,2026-04-10,
5,60,        2617-997,A,Extrusion 20x20 Slot,4.27,MM,Make,,09/14/2025,
4,60,      2623-474,A,Nut M6 Nyloc,6,PC,Subcontract,,2023-11-20,
4,70,      0453-119,A,Hex Bolt M6x20 A4,4,EA,Subcontract,,10/04/2023,
4,80,      2624-525,01,Braided Sleeve 10mm,2.15,SQM,Item,,,
4,90,      2628-277,02,Braided Sleeve 10mm,3.698,MM,Pegged,,12/05/2026,
4,100,      0453-119,A,Hex Bolt M6x20 A4,4,EA,Purchased,,2025-01-02,
4,110,      2630-246,-,Thread Locker Medium,0,ML,item,,2023-10-08,
4,120,      2631-678,A,Standoff M3x10,1,PCS,Item,,2024-06-19,
3,60,    EC-51281,-,Voltage Regulator 3V3,1,EA,item,C146,2023-02-28,
5,70,        SA-1117,A,Power Supply,2,PC,Phantom,,2023-04-11,
4,10,      EC-51286,01,Capacitor 100nF 50V,4,PC,Subcontract,"C147, C148, C149, C150",2025-08-01,
4,20,      2635-577,A,O-Ring 24mm Viton,24,EA,Pegged supply,,2024-05-07,
4,30,      2642-759,A,Retaining Ring 20mm,1,PCS,Pegged,,2025-04-13,
4,40,      EC-51293,,Voltage Regulator 3V3,2,EA,Item,C151-C152,2026-04-11,
4,50,      EC-51297,D,Capacitor 100nF 50V,2,EA,Vendor,"D153, D154",2023-01-12,
4,60,      EC-51301,,Capacitor 100nF 50V,1,PC,Item,C155,2025-09-13,
4,70,      EC-51303,02,Resistor 10k 0603,3,ea,item,C156-C158,11/24/2024,
4,80,      SA-1119,A,Power Supply,1,EA,Phantom Item,,2025-06-12,
5,10,        2645-654,A,Ribbon Cable 20W,3,EA,,,2024-09-19,
5,20,        2647-351,,Dowel Pin 5x16,2,EA,Pegged,,,
5,30,        0461-018,A,Nut M6 Nyloc A4,1,EA,Item,,2025-04-19,
5,40,        2652-119,A,Cable Tie 100mm,1,,Item,,2023-11-10,
5,50,        2659-867,,Retaining Ring 20mm,12,pcs,Item,,,
4,90,      2660-561,02,Standoff M3x10,8,PC,Vendor,,2026-07-01,
3,80,    EC-51306,A,Voltage Regulator 3V3,1,EA,Buy,L159,2025-05-05,
3,90,    2666-302,1,Heat Shrink 6mm,4,PCS,Item,,2023-05-03,
3,100,    SA-1123,D,Power Supply,1,EA,item,,2025-09-27,2026-09-27
4,10,      0712-330,A,O-Ring 24mm Viton,24,EA,Purchased,,04/22/2024,
4,20,      2673-919,,Spring 8N,8,Ea,Make,,2026-02-01,
4,30,      EC-51313,C,Diode Schottky 40V,2,,Pegged supply,"R160, R161",04/24/2026,
4,40,      2676-228,,Washer M6 Plain,3,EA,Purchased,,2023-07-04,2024-07-04
4,50,      0712-330,,O-Ring 24mm Viton,3,EA,Purchased,,2025-09-18,
4,60,      0453-119,A,Hex Bolt M6x20 A4,2,EA,vendor,,2026-04-19,
4,70,      2679-016,D,Cable Tie 100mm,6,EA,Pegged,,11/05/2025,
4,80,      0461-018,-,Nut M6 Nyloc A4,3,EA,Subcontract,,2024-09-13,
4,90,      2686-912,,Thread Locker Medium,0,G,Item,,,
4,100,      2693-159,-,Epoxy Adhesive 2-Part,0,,,,2026-06-18,
4,110,      0453-119,A,Hex Bolt M6x20 A4,1,PCS,Buy,,2024-10-28,
4,120,      2698-175,A,Shaft 12mm Stainless,1,ea,,,,
2,70,  0453-204,,Washer M6 Plain A4,3,EA,Vendor,,08/07/2024,
2,80,  SA-1126,C,Enclosure,1,PC,Item,,2025-02-20,
3,10,    2703-242,A,Conformal Coating,0,ML,Pegged supply,,,
3,20,    0712-330,A,O-Ring 24mm Viton,24,EA,Item,,2024-02-04,
3,30,    EC-51314,A,MOSFET N-Ch 30V,1,pcs,Purchased,R162,2024-12-19,
3,40,    EC-51317,A,LED Green 0603,1,Each,Item,R163,2023-10-27,2024-10-27
3,50,    0461-018,A,Nut M6 Nyloc A4,12,PC,Vendor,,2026-03-12,
3,60,    SA-1129,1,Control Board,1,EA,Item,,2024-06-24,
4,10,      EC-51324,B,MOSFET N-Ch 30V,4,pcs,Item,R164-R167,2025-03-04,
4,20,      2704-311,A,Hex Bolt M6x20,4,EA,Vendor,,2023-12-17,
4,30,      2710-208,A,Grommet 8mm,6,EA,Item,,2024-01-20,2025-01-20
4,40,      2711-053,02,Sealant Silicone Clear,1.622,M,Vendor,,2026-10-25,
4,50,      2716-944,C,Hex Bolt M6x20,1,PCS,Purchased,,2023-07-21,
4,60,      2718-742,D,Standoff M3x10,8,EA,,,2025-11-25,
4,70,      2723-649,B,Gasket PTFE 40mm,3,EA,Pegged supply,,2025-10-04,2026-10-04
4,80,      0453-119,,Hex Bolt M6x20 A4,1,EA,Vendor,,2026-03-08,
4,90,      EC-51329,D,LED Green 0603,1,,Buy,R168,2025-04-15,
4,100,      2728-541,A,Solder Paste SAC305,0,,,,2023-04-17,
3,70,    EC-51330,B,LED Green 0603,2,PC,Buy,R169-R170,2026-07-15,
3,80,    SA-1131,,Pump Head,2,Each,Phantom,,2025-11-24,
4,10,      EC-51332,B,Resistor 10k 0603,4,PC,Pegged supply,"L171,L172,L173,L174",2023-02-20,
4,20,      0461-018,B,Nut M6 Nyloc A4,12,EA,Item,,2023-04-22,
4,30,      2729-366,C,Cable Tie 100mm,12,EA,Item,,03/04/2023,03/04/2024
4,40,      2735-825,2,Strip Copper 3mm,4.102,L,Buy,,2025-09-23,2026-09-23
4,50,      2739-955,-,Wire 0.75mm2 Black,"0,92",M,vendor,,,
4,60,      0712-330,A,O-Ring 24mm Viton,2,ea,Purchased,,2024-05-28,
4,70,      EC-51333,01,Resistor 10k 0603,4,EA,,"C175, C176, C177, C178",2023-07-02,
4,80,      2740-889,,Thread Locker Medium,0,G,Pegged supply,,2025-06-18,
4,90,      EC-51338,1,Inductor 4u7,1,PC,Make,R179,,
3,90,    0453-119,,Hex Bolt M6x20 A4,12,ea,item,,2024-11-20,
3,100,    SA-1134,-,Enclosure,1,,Phantom,,2023-02-11,
4,10,      2741-240,2,Terminal Block 4W,2,pcs,Subcontract,,03/20/2026,
4,20,      2747-155,A,Terminal Block 4W,1,pcs,Item,,2026-03-08,
4,30,      SA-1138,1,Sensor Stack,4,EA,item,,2025-02-22,
5,10,        2754-351,1,O-Ring 24mm Viton,1,EA,Make,,2025-07-13,
5,20,        EC-51342,A,Voltage Regulator 3V3,1,EA,Item,R180,2026-01-24,
5,30,        2758-350,02,Cable 4-Core Screened,0.748,L,Item,,12/08/2026,
5,40,        EC-51350,C,LED Green 0603,1,Ea,Item,R181,2024-10-06,
5,50,        0712-330,A,O-Ring 24mm Viton,6,EA,Subcontract,,2023-05-17,
5,60,        2761-634,2,Heat Shrink 6mm,2,EA,Buy,,2025-08-17,
4,40,      SA-1141,C,Power Supply,1,Each,phantom,,2025-05-25,
5,10,        0712-330,A,O-Ring 24mm Viton,2,EA,,,2023-02-08,
5,20,        2763-481,-,Solder Paste SAC305,0,ML,Item,,2025-03-27,
5,30,        2767-915,,Silicone Grease,0,EA,Pegged,,2023-04-11,
5,40,        0453-119,,Hex Bolt M6x20 A4,4,ea,Purchased,,2023-03-27,
5,50,        2773-208,-,Thread Locker Medium,0,G,Make,,02/05/2024,02/05/2025
5,60,        0712-330,,O-Ring 24mm Viton,1,EA,Purchased,,2023-11-07,
