Harbour Lane Logistics
Outbound shipments
Exported 2026-06-30

Tracking No,Ship Date,Destination Port,Carrier,Weight (kg),Pallet Count,Declared Value,Customs Ref
HL-000035,2026-02-20,Felixstowe,Maersk,256.98,21,16089.63,CR-00035
HL-000036,2026-06-25,Algeciras,DHL,63.98,20,5125.04,CR-00036
HL-000037,2026-06-15,Rotterdam,UPS,99.92,21,34573.55,
HL-000038,2026-03-22,Piraeus,DHL,32.84,11,37908.06,CR-00038
HL-000039,2026-02-19,Felixstowe,DHL,183.63,12,26179.52,CR-00039
HL-000040,2026-05-20,Rotterdam,FedEx,316.41,2,8836.52,CR-00040
HL-000041,2026-06-11,Rotterdam,FedEx,245,9,4657.77,CR-00041
HL-000042,2026-06-28,Gdansk,DHL,197.01,3,24824.25,CR-00042
HL-000043,2026-05-22,Rotterdam,FedEx,65.11,7,9917.75,CR-00043
HL-000044,2026-01-06,Rotterdam,Maersk,350.04,13,27682.24,CR-00044
HL-000045,2026-01-31,Felixstowe,DHL,226.36,19,40588.06,
HL-000046,2026-04-14,Felixstowe,DHL,349.8,8,7552.18,CR-00046
HL-000047,2026-03-04,Algeciras,FedEx,329.15,20,34004.66,CR-00047
HL-000048,2026-04-26,Gdansk,FedEx,117.57,11,31715.01,CR-00048
HL-000049,2026-02-13,Felixstowe,UPS,256.69,12,34171.33,CR-00049
HL-000050,2026-05-14,Felixstowe,UPS,149.09,21,6088.17,CR-00050
HL-000051,2026-04-08,Gdansk,UPS,29.91,11,45378.3,CR-00051
HL-000052,2026-04-03,Gdansk,DHL,370.76,3,36635.46,CR-00052
HL-000053,2026-02-10,Felixstowe,DHL,324.89,26,25715.27,CR-00053
HL-000054,2026-01-31,Felixstowe,DHL,16.63,19,36628.62,CR-00054
HL-000055,2026-01-02,Felixstowe,FedEx,118.82,14,45141.38,CR-00055
HL-000056,2026-04-10,Gdansk,DHL,39.86,17,5820.07,CR-00056
HL-000057,2026-03-24,Gdansk,FedEx,281.77,15,37327.05,CR-00057
HL-000058,2026-05-17,Gdansk,UPS,227.91,18,36684.54,CR-00058
HL-000059,2026-06-08,Algeciras,FedEx,238.31,5,12328.4,CR-00059
HL-000060,2026-02-06,Algeciras,DHL,284.01,14,39612.52,CR-00060
HL-000061,2026-02-03,Rotterdam,FedEx,245.56,9,5282.98,CR-00061
HL-000062,2026-06-19,Rotterdam,DHL,96.52,19,145.14,CR-00062
HL-000063,2026-01-01,Piraeus,UPS,369.17,16,18605.33,CR-00063
HL-000064,2026-02-19,Felixstowe,FedEx,290.8,14,35481.09,CR-00064
HL-000065,2026-04-22,Rotterdam,DHL,151.74,7,36622.03,CR-00065
HL-000066,2026-02-28,Rotterdam,DHL,355.1,23,28073.89,CR-00066
HL-000067,2026-06-06,Rotterdam,DHL,79.08,11,22198.02,CR-00067
HL-000068,2026-03-24,Felixstowe,DHL,2.77,17,20502.41,CR-00068
HL-000069,2026-01-08,Felixstowe,FedEx,328.84,15,34539.73,CR-00069
HL-000070,2026-06-24,Rotterdam,Maersk,310.43,21,44962.06,CR-00070
HL-000071,2026-05-08,Rotterdam,DHL,302.33,10,36606.61,
HL-000072,2026-04-15,Felixstowe,DHL,174.52,18,43448.76,CR-00072
HL-000073,2026-01-03,Felixstowe,UPS,17.05,2,19379.56,CR-00073
HL-000074,2026-05-03,Gdansk,FedEx,293.37,21,24224.88,CR-00074
HL-000075,2026-06-14,Felixstowe,Maersk,351.13,9,43679.03,CR-00075
HL-000076,2026-03-31,Felixstowe,DHL,188.98,25,35228.28,CR-00076
HL-000077,2026-05-18,Gdansk,UPS,274.19,17,39426.07,CR-00077
HL-000078,2026-05-24,Piraeus,DHL,154.33,19,37342.25,CR-00078
HL-000079,2026-03-18,Piraeus,Maersk,57.58,17,11370.15,CR-00079
HL-000080,2026-03-27,Felixstowe,UPS,257.75,16,40272.24,CR-00080
HL-000081,2026-02-04,Algeciras,DHL,310.2,9,30851.23,CR-00081
HL-000082,2026-05-27,Rotterdam,DHL,177.88,16,5015.71,CR-00082
HL-000083,2026-01-12,Gdansk,UPS,65.93,21,44613.94,CR-00083
HL-000084,2026-01-06,Rotterdam,UPS,85.91,9,20942.8,CR-00084
HL-000085,2026-01-19,Felixstowe,FedEx,359.97,17,31730.42,CR-00085
HL-000086,2026-03-05,Rotterdam,DHL,217.5,16,42969.83,CR-00086
HL-000087,2026-02-16,Rotterdam,UPS,270.1,24,4060.52,CR-00087
HL-000088,2026-06-22,Felixstowe,Maersk,317.96,13,2656.93,CR-00088
HL-000089,2026-05-27,Rotterdam,DHL,300.89,18,19784.07,CR-00089
HL-000090,2026-05-22,Gdansk,FedEx,109.93,6,45537.43,CR-00090
HL-000091,2026-03-08,Felixstowe,UPS,316.82,3,2766.11,CR-00091
HL-000092,2026-06-10,Algeciras,Maersk,299.82,12,15819.11,CR-00092
HL-000093,2026-01-17,Felixstowe,DHL,43.6,9,25579.54,CR-00093
HL-000094,2026-04-25,Piraeus,Maersk,29.08,24,40140.77,CR-00094
HL-000095,2026-06-08,Felixstowe,FedEx,348.58,22,16395,CR-00095
HL-000096,2026-03-15,Rotterdam,DHL,296.69,3,10444.06,CR-00096
HL-000097,2026-02-13,Piraeus,FedEx,134.82,26,15462.46,CR-00097
HL-000098,2026-04-18,Felixstowe,Maersk,308.85,2,41715.49,CR-00098
HL-000099,2026-05-25,Rotterdam,UPS,84.72,14,2880.51,CR-00099
HL-000100,2026-05-31,Rotterdam,DHL,212.19,23,21329.97,CR-00100
HL-000101,2026-06-17,Felixstowe,DHL,14,13,45818.32,CR-00101
HL-000102,2026-03-28,Felixstowe,FedEx,291.59,11,3553.18,CR-00102
HL-000103,2026-01-30,Rotterdam,UPS,213.51,1,12106.69,CR-00103
HL-000104,2026-04-15,Algeciras,Maersk,256.62,12,40806.32,CR-00104
HL-000105,2026-05-20,Felixstowe,DHL,313.89,5,6249.63,CR-00105
HL-000106,2026-02-12,Algeciras,DHL,205.81,10,26940.68,CR-00106
HL-000107,2026-01-15,Rotterdam,FedEx,101.75,8,31956.23,CR-00107
HL-000108,2026-02-19,Felixstowe,DHL,66.8,24,14574.68,CR-00108
HL-000109,2026-03-27,Gdansk,Maersk,332.1,9,36477.06,CR-00109
HL-000110,2026-04-30,Piraeus,FedEx,238.27,10,173.37,CR-00110
HL-000111,2026-06-10,Algeciras,DHL,225.44,14,12548.18,CR-00111
HL-000112,2026-03-16,Piraeus,Maersk,209.16,20,17860.87,CR-00112
HL-000113,2026-01-17,Rotterdam,FedEx,132.78,15,34832.86,CR-00113
HL-000114,2026-05-13,Rotterdam,Maersk,200.33,10,28071.74,CR-00114
HL-000115,2026-03-12,Gdansk,UPS,75.45,10,21304.07,CR-00115
HL-000116,2026-02-05,Felixstowe,FedEx,127.9,3,37026.57,CR-00116
HL-000117,2026-01-27,Felixstowe,DHL,285.38,5,40245.12,CR-00117
HL-000118,2026-06-29,Felixstowe,UPS,121.81,13,30797.76,CR-00118
HL-000119,2026-06-10,Rotterdam,DHL,135.37,4,3655.19,CR-00119
HL-000120,2026-01-01,Felixstowe,Maersk,231.66,26,2627.59,CR-00120
HL-000121,2026-02-21,Algeciras,FedEx,20.43,5,47589.42,CR-00121
HL-000122,2026-05-12,Algeciras,UPS,351.25,17,20728.52,CR-00122
HL-000123,2026-05-14,Gdansk,DHL,359.86,23,43767.14,CR-00123
HL-000124,2026-05-05,Piraeus,UPS,177.01,12,23362.79,CR-00124
HL-000125,2026-03-05,Felixstowe,Maersk,61.75,15,3646.3,CR-00125
HL-000126,2026-04-07,Felixstowe,Maersk,293.86,20,33238.61,CR-00126
HL-000127,2026-05-21,Algeciras,UPS,61.22,8,42105.35,CR-00127
HL-000128,2026-05-19,Piraeus,UPS,122.95,12,29521.42,
HL-000129,2026-03-28,Gdansk,DHL,113.55,15,4218.3,CR-00129
HL-000130,2026-04-09,Rotterdam,DHL,229.92,19,12552.21,CR-00130
HL-000131,2026-05-10,Rotterdam,DHL,102.35,18,42428.58,CR-00131
HL-000132,2026-04-03,Rotterdam,UPS,304.23,9,45962.02,CR-00132
HL-000133,2026-02-17,Felixstowe,Maersk,350.34,26,36603.58,CR-00133
HL-000134,2026-03-11,Gdansk,FedEx,80.36,2,38902.31,CR-00134
HL-000135,2026-01-31,Felixstowe,DHL,324.63,9,28375.71,CR-00135
HL-000136,2026-05-04,Gdansk,DHL,157.22,22,42646.35,CR-00136
HL-000137,2026-03-04,Gdansk,DHL,220.83,24,16129.91,CR-00137
HL-000138,2026-02-14,Gdansk,DHL,70.94,5,15399.64,CR-00138
HL-000139,2026-04-06,Felixstowe,DHL,283.9,21,21457.29,CR-00139
HL-000140,2026-03-02,Felixstowe,FedEx,45.89,15,46378.51,CR-00140
HL-000141,2026-04-17,Piraeus,UPS,339.19,20,5096.58,
HL-000142,2026-06-16,Gdansk,DHL,372.59,5,46345.94,CR-00142
HL-000143,2026-06-22,Rotterdam,DHL,165.56,20,25123.67,CR-00143
HL-000144,2026-03-29,Felixstowe,UPS,280.83,20,35505.37,CR-00144
HL-000145,2026-03-16,Rotterdam,Maersk,195.12,4,40928.28,CR-00145
HL-000146,2026-02-19,Felixstowe,DHL,192.92,12,9993.47,CR-00146
HL-000147,2026-03-15,Piraeus,UPS,254.11,24,4125.09,CR-00147
HL-000148,2026-02-24,Rotterdam,Maersk,29.67,19,8820.43,CR-00148
HL-000149,2026-01-11,Piraeus,UPS,76.37,9,28243.77,CR-00149
HL-000150,2026-02-05,Rotterdam,DHL,294.06,23,16145.16,CR-00150
HL-000151,2026-06-08,Gdansk,DHL,242.96,1,4421.66,CR-00151
HL-000152,2026-02-18,Rotterdam,DHL,296.08,7,36774.43,CR-00152
HL-000153,2026-04-20,Rotterdam,FedEx,212.33,22,10442.96,CR-00153
HL-000154,2026-03-21,Rotterdam,Maersk,244.72,20,26218.49,
HL-000155,2026-06-25,Gdansk,DHL,238.98,21,15406.24,CR-00155
HL-000156,2026-02-02,Felixstowe,Maersk,338.28,6,26868.27,CR-00156
HL-000157,2026-03-23,Felixstowe,DHL,317.4,16,43851.3,CR-00157
HL-000158,2026-04-05,Gdansk,DHL,277.55,21,46183.35,CR-00158
HL-000159,2026-05-16,Felixstowe,DHL,373.96,17,23433.86,CR-00159
HL-000160,2026-01-28,Rotterdam,DHL,90.31,16,34488.89,CR-00160
HL-000161,2026-05-01,Felixstowe,UPS,6.44,7,7649.19,
HL-000162,2026-01-27,Felixstowe,DHL,44.45,14,27285.26,CR-00162
HL-000163,2026-02-17,Rotterdam,DHL,302.74,9,16280.05,
HL-000164,2026-03-14,Felixstowe,Maersk,333.66,24,25121.15,CR-00164
HL-000165,2026-03-14,Algeciras,DHL,155.55,16,2934.79,CR-00165
HL-000166,2026-04-21,Gdansk,DHL,5.8,7,22936.03,CR-00166
HL-000167,2026-05-29,Felixstowe,DHL,24,4,7722.47,CR-00167
HL-000168,2026-05-11,Gdansk,Maersk,54.95,4,21485.43,
HL-000169,2026-05-20,Felixstowe,UPS,288.79,5,18854.87,CR-00169
HL-000170,2026-02-17,Gdansk,UPS,274.15,17,21311.79,
HL-000171,2026-02-16,Gdansk,UPS,173.98,19,33597.05,CR-00171
HL-000172,2026-04-15,Gdansk,DHL,253.98,5,25757.54,CR-00172
HL-000173,2026-05-11,Rotterdam,UPS,118.63,19,30332,CR-00173
HL-000174,2026-04-27,Rotterdam,UPS,136.96,6,25811.76,CR-00174
HL-000175,2026-01-03,Piraeus,Maersk,70.87,19,35874.35,CR-00175
HL-000176,2026-02-20,Felixstowe,DHL,342.97,24,2295.11,CR-00176
HL-000177,2026-03-07,Rotterdam,FedEx,46.5,13,45076.04,
HL-000178,2026-01-23,Felixstowe,DHL,111.24,21,22982.7,CR-00178
HL-000179,2026-06-06,Rotterdam,DHL,91.38,6,35930.4,CR-00179
HL-000180,2026-06-16,Algeciras,Maersk,172.29,7,30185.15,CR-00180
HL-000181,2026-04-03,Piraeus,DHL,220.04,23,4552.62,CR-00181
HL-000182,2026-02-23,Rotterdam,UPS,315.39,11,32089.73,CR-00182
HL-000183,2026-03-31,Rotterdam,FedEx,177.23,22,45852.67,CR-00183
HL-000184,2026-06-10,Felixstowe,FedEx,377.51,9,2653.95,CR-00184
HL-000185,2026-05-21,Felixstowe,Maersk,78.16,2,2498.33,CR-00185
HL-000186,2026-05-09,Rotterdam,UPS,55.65,20,39527.84,CR-00186
HL-000187,2026-01-26,Gdansk,UPS,234.54,5,44415.99,CR-00187
HL-000188,2026-01-17,Gdansk,FedEx,2.51,24,35693.14,CR-00188
HL-000189,2026-01-06,Rotterdam,DHL,83.02,14,19989.52,CR-00189
HL-000190,2026-04-19,Rotterdam,UPS,218.83,23,12620.4,CR-00190
HL-000191,2026-06-11,Rotterdam,UPS,13.09,23,18368.14,
HL-000192,2026-03-02,Gdansk,UPS,335.41,5,6540.95,CR-00192
HL-000193,2026-05-10,Algeciras,UPS,356.37,15,7398.84,CR-00193
HL-000194,2026-03-17,Felixstowe,UPS,221.74,10,25949.33,CR-00194
HL-000195,2026-05-22,Rotterdam,DHL,377.8,12,4594.83,CR-00195
HL-000196,2026-06-06,Rotterdam,DHL,285.08,1,45646.53,CR-00196
HL-000197,2026-02-11,Rotterdam,UPS,20.54,17,4445.16,CR-00197
HL-000198,2026-01-29,Felixstowe,UPS,204,26,12472.26,
HL-000199,2026-05-31,Rotterdam,DHL,229.26,14,9327.22,CR-00199
HL-000200,2026-04-01,Piraeus,UPS,228.11,25,14471.31,CR-00200
HL-000201,2026-01-28,Rotterdam,UPS,273.35,16,21290.36,
HL-000202,2026-04-25,Rotterdam,DHL,272.04,26,14327.33,CR-00202
HL-000203,2026-05-23,Gdansk,UPS,253.37,8,19094.83,CR-00203
HL-000204,2026-04-14,Felixstowe,UPS,0.83,14,7549.65,CR-00204
HL-000205,2026-04-12,Gdansk,FedEx,90.18,18,19178.14,CR-00205
HL-000206,2026-03-29,Algeciras,DHL,97.86,5,2287.5,CR-00206
HL-000207,2026-02-23,Algeciras,DHL,322.34,25,8651.29,CR-00207
HL-000208,2026-04-20,Rotterdam,Maersk,333.38,5,31200.23,CR-00208
HL-000209,2026-05-11,Gdansk,UPS,206.32,11,35683.02,CR-00209
HL-000210,2026-02-28,Gdansk,Maersk,161.71,7,35437.52,CR-00210
HL-000211,2026-02-20,Gdansk,FedEx,195.94,10,25980.79,CR-00211
HL-000212,2026-03-31,Algeciras,FedEx,244.81,6,38384.99,CR-00212
HL-000213,2026-06-02,Gdansk,DHL,288.05,5,38535.48,CR-00213
HL-000214,2026-06-09,Felixstowe,DHL,27.8,26,20788.91,CR-00214
HL-000215,2026-03-06,Rotterdam,DHL,48.49,14,29227.43,CR-00215
HL-000216,2026-03-28,Felixstowe,DHL,272.96,8,37841.02,CR-00216
HL-000217,2026-03-16,Rotterdam,Maersk,3.6,22,7470.95,CR-00217
HL-000218,2026-03-14,Rotterdam,DHL,209.57,12,37847.72,CR-00218
HL-000219,2026-02-23,Gdansk,DHL,291.93,24,31110.96,CR-00219
HL-000220,2026-06-27,Algeciras,DHL,140.13,9,12782.09,CR-00220
HL-000221,2026-05-14,Felixstowe,UPS,132.22,21,8455.5,CR-00221
HL-000222,2026-06-23,Gdansk,FedEx,342.4,2,13108.24,CR-00222
HL-000223,2026-04-08,Algeciras,DHL,32.69,11,47896.6,CR-00223
HL-000224,2026-01-21,Rotterdam,FedEx,206.54,2,40272.21,CR-00224
HL-000225,2026-01-17,Rotterdam,DHL,167.91,23,2339.89,CR-00225
HL-000226,2026-03-07,Rotterdam,FedEx,333.75,10,2175.24,CR-00226
HL-000227,2026-06-18,Felixstowe,Maersk,19.47,18,25116.17,CR-00227
HL-000228,2026-02-13,Rotterdam,FedEx,42.59,26,31673.85,CR-00228
HL-000229,2026-01-07,Gdansk,UPS,266.97,11,2292.09,CR-00229
HL-000230,2026-02-16,Felixstowe,UPS,240.2,8,33449.81,CR-00230
HL-000231,2026-01-10,Rotterdam,DHL,264.64,7,9232.78,
HL-000232,2026-04-11,Felixstowe,DHL,230.16,19,42942.95,CR-00232
HL-000233,2026-01-07,Felixstowe,DHL,27.05,16,39907.77,CR-00233
HL-000234,2026-01-06,Algeciras,Maersk,108.81,18,9149.52,CR-00234
HL-000235,2026-04-09,Felixstowe,DHL,228.51,11,8625.26,CR-00235
HL-000236,2026-01-24,Rotterdam,DHL,134.95,1,3604.18,CR-00236
HL-000237,2026-02-16,Felixstowe,UPS,288.47,19,36148.59,CR-00237
HL-000238,2026-02-04,Felixstowe,UPS,148.76,2,36593.84,CR-00238
HL-000239,2026-04-22,Algeciras,DHL,12.86,25,28598.72,CR-00239
HL-000240,2026-05-26,Piraeus,FedEx,150.37,26,8342.96,CR-00240
HL-000241,2026-06-06,Piraeus,UPS,37.54,26,23693.33,CR-00241
HL-000242,2026-01-29,Rotterdam,Maersk,2.07,21,25841.46,
HL-000243,2026-05-22,Felixstowe,Maersk,331.83,5,42893.13,CR-00243
HL-000244,2026-05-03,Algeciras,UPS,200.88,16,47211.61,CR-00244
HL-000245,2026-03-07,Gdansk,UPS,220.42,1,2814.95,
HL-000246,2026-05-16,Felixstowe,DHL,77.97,5,31075.38,CR-00246
HL-000247,2026-06-17,Rotterdam,UPS,346.57,13,1421.51,CR-00247
HL-000248,2026-01-29,Gdansk,FedEx,329.88,17,29936.07,CR-00248
HL-000249,2026-05-24,Gdansk,DHL,332.17,24,15645.29,CR-00249
HL-000250,2026-05-03,Felixstowe,DHL,177.34,13,607.77,CR-00250
HL-000251,2026-03-28,Felixstowe,UPS,160.44,16,1220.18,
HL-000252,2026-01-17,Rotterdam,Maersk,347.64,7,10082.22,CR-00252
HL-000253,2026-03-03,Felixstowe,DHL,93.62,16,25647.58,CR-00253
HL-000254,2026-06-03,Piraeus,DHL,323.01,2,11321.1,CR-00254
HL-000255,2026-02-18,Felixstowe,DHL,37.24,14,12228.38,CR-00255
HL-000256,2026-01-03,Felixstowe,UPS,110.62,26,47003.45,CR-00256
HL-000257,2026-02-16,Algeciras,DHL,245.01,13,1476.45,CR-00257
HL-000258,2026-05-16,Felixstowe,FedEx,50.24,11,36001.62,CR-00258
HL-000259,2026-06-01,Gdansk,DHL,103.25,14,39460.24,CR-00259
HL-000260,2026-06-11,Algeciras,DHL,365.76,5,19180.95,
HL-000261,2026-04-03,Rotterdam,UPS,170.31,2,47393.47,CR-00261
HL-000262,2026-05-16,Rotterdam,DHL,130.04,25,30197.82,CR-00262
HL-000263,2026-03-18,Gdansk,DHL,376.73,5,18176.46,CR-00263
HL-000264,2026-02-14,Gdansk,FedEx,220.47,24,13755.32,CR-00264
HL-000265,2026-04-28,Rotterdam,UPS,49.85,3,8185.41,
HL-000266,2026-04-17,Algeciras,DHL,205.78,4,40017.39,CR-00266
HL-000267,2026-01-01,Rotterdam,FedEx,216.16,18,11180.66,CR-00267
HL-000268,2026-03-17,Rotterdam,UPS,133.89,24,17899.93,CR-00268
HL-000269,2026-01-16,Felixstowe,DHL,49.06,9,34825.67,CR-00269
HL-000270,2026-04-12,Rotterdam,DHL,171.96,12,41942.41,CR-00270
HL-000271,2026-06-10,Felixstowe,FedEx,359.98,14,25657.76,CR-00271
HL-000272,2026-06-06,Rotterdam,FedEx,116.21,16,37867.51,CR-00272
HL-000273,2026-06-16,Piraeus,UPS,252.47,15,3652.77,CR-00273
HL-000274,2026-06-28,Felixstowe,DHL,202.43,14,6963.43,CR-00274
HL-000275,2026-02-25,Rotterdam,DHL,236.46,7,45340.72,CR-00275
HL-000276,2026-01-26,Algeciras,FedEx,44.85,23,32654.36,CR-00276
HL-000277,2026-02-21,Rotterdam,DHL,74.41,16,27333.09,CR-00277
HL-000278,2026-06-30,Felixstowe,UPS,213.01,21,15258.31,CR-00278
HL-000279,2026-04-20,Rotterdam,UPS,203.91,23,34073.87,CR-00279
HL-000280,2026-06-24,Algeciras,FedEx,78.52,24,11473.68,CR-00280
HL-000281,2026-02-28,Algeciras,DHL,174.72,23,42448.39,CR-00281
HL-000282,2026-02-23,Rotterdam,FedEx,316.51,3,28808.54,
HL-000283,2026-02-16,Felixstowe,DHL,89.83,22,7380.46,CR-00283
HL-000284,2026-05-10,Felixstowe,DHL,154.9,17,21808.92,CR-00284
HL-000285,2026-03-06,Algeciras,Maersk,251.99,6,33328.81,
HL-000286,2026-02-12,Felixstowe,FedEx,239.98,14,42611.6,CR-00286
HL-000287,2026-06-15,Gdansk,FedEx,272.61,25,19072.33,CR-00287
HL-000288,2026-05-17,Algeciras,DHL,124.34,21,13351.31,CR-00288
HL-000289,2026-06-28,Algeciras,DHL,202.05,13,19401.59,CR-00289
HL-000290,2026-02-05,Felixstowe,UPS,260.5,2,211.77,CR-00290
HL-000291,2026-06-27,Felixstowe,FedEx,359.8,16,31709.22,CR-00291
HL-000292,2026-02-28,Rotterdam,UPS,304.93,22,4895.49,CR-00292
HL-000293,2026-04-16,Algeciras,UPS,325.32,20,22743.8,CR-00293
HL-000294,2026-04-23,Rotterdam,DHL,205.05,11,10916.79,CR-00294
HL-000295,2026-02-12,Gdansk,DHL,199.79,22,27816.02,CR-00295
HL-000296,2026-01-14,Rotterdam,UPS,53.88,16,5040.74,CR-00296
HL-000297,2026-05-29,Piraeus,DHL,118.98,9,42290.63,
HL-000298,2026-03-06,Piraeus,DHL,42.63,8,15872.09,CR-00298
HL-000299,2026-04-08,Rotterdam,UPS,223.51,25,25076.55,CR-00299
HL-000300,2026-06-21,Piraeus,UPS,160.76,17,24702.97,CR-00300
HL-000301,2026-01-12,Piraeus,UPS,252.73,8,27960.71,CR-00301
HL-000302,2026-03-29,Algeciras,FedEx,311.71,12,10839.98,CR-00302
HL-000303,2026-03-11,Felixstowe,DHL,32.99,15,1818.15,CR-00303
HL-000304,2026-05-25,Gdansk,FedEx,282.16,25,27155.74,
HL-000305,2026-02-04,Piraeus,FedEx,83.57,23,4156.03,CR-00305
HL-000306,2026-06-25,Gdansk,Maersk,364.77,20,32784.28,CR-00306
HL-000307,2026-01-20,Rotterdam,FedEx,246.81,22,45470.02,CR-00307
HL-000308,2026-03-06,Gdansk,UPS,31.73,10,39093.14,
HL-000309,2026-01-18,Algeciras,Maersk,345.18,19,36664.94,CR-00309
HL-000310,2026-06-18,Gdansk,DHL,53.88,13,19046.18,CR-00310
HL-000311,2026-01-19,Felixstowe,DHL,97.6,18,1452.18,CR-00311
HL-000312,2026-02-17,Gdansk,Maersk,74.79,2,39945.07,
HL-000313,2026-01-24,Felixstowe,DHL,311.12,3,4299.59,CR-00313
HL-000314,2026-03-06,Rotterdam,FedEx,325.2,22,16951.67,CR-00314
HL-000315,2026-03-02,Felixstowe,UPS,333.98,24,24891.97,CR-00315
HL-000316,2026-05-05,Rotterdam,DHL,349.48,8,33158.24,
HL-000317,2026-01-03,Rotterdam,Maersk,182.67,12,33505.13,CR-00317
HL-000318,2026-04-25,Rotterdam,DHL,179.06,25,11654.57,CR-00318
HL-000319,2026-05-11,Rotterdam,DHL,19.28,25,28354.69,CR-00319
HL-000320,2026-02-19,Rotterdam,DHL,24.56,18,12202.96,CR-00320
HL-000321,2026-01-27,Gdansk,DHL,129.67,14,4514.43,CR-00321
HL-000322,2026-04-07,Gdansk,DHL,116.99,3,11572.94,CR-00322
HL-000323,2026-02-08,Felixstowe,FedEx,193.37,4,27985.57,CR-00323
HL-000324,2026-04-24,Felixstowe,DHL,329.94,6,26624.68,CR-00324
HL-000325,2026-03-05,Rotterdam,UPS,62.83,1,40297.19,CR-00325
HL-000326,2026-03-02,Gdansk,DHL,27.82,10,27824.62,CR-00326
HL-000327,2026-01-02,Piraeus,FedEx,59.39,24,45364.45,CR-00327
HL-000328,2026-03-10,Rotterdam,DHL,323.75,25,20447.58,CR-00328
HL-000329,2026-02-09,Felixstowe,Maersk,115.76,18,20759.79,CR-00329
HL-000330,2026-05-13,Felixstowe,UPS,201.53,12,29849.33,CR-00330
HL-000331,2026-04-28,Rotterdam,DHL,119.89,20,28694.91,CR-00331
HL-000332,2026-01-24,Felixstowe,UPS,3.27,2,30928.68,CR-00332
HL-000333,2026-03-16,Felixstowe,DHL,164.24,24,3555.6,CR-00333
HL-000334,2026-06-13,Rotterdam,DHL,3.19,22,39394.93,CR-00334
HL-000335,2026-01-27,Gdansk,UPS,91.2,2,41948.74,CR-00335
HL-000336,2026-03-22,Felixstowe,UPS,175.5,1,31586.2,CR-00336
HL-000337,2026-06-27,Felixstowe,FedEx,63.32,7,45225.14,CR-00337
HL-000338,2026-06-18,Rotterdam,FedEx,12.67,15,7331.05,CR-00338
HL-000339,2026-05-05,Rotterdam,DHL,226.64,10,38153.24,CR-00339
HL-000340,2026-04-12,Piraeus,FedEx,251.23,20,10524.59,
HL-000341,2026-05-15,Piraeus,DHL,181.82,5,2245.24,CR-00341
HL-000342,2026-04-29,Algeciras,FedEx,249.54,14,3128.66,
