Delivery no.,Supplier name,Carrier name,Pallets received,Gross weight (kg),Slot date,Dock,Load status,Booking contact email
AG-0039,Orrell Insulation Group,Marden Freight,32,1120.74,2027-02-13,Dock 1,Arrived,bookings@orrellinsulation.example
AG-0040,Pelsham Adhesives Works,Ravenhill Haulage,12,15614.43,2027-02-14,Dock 3,Booked,bookings@pelshamadhesives.example
AG-0041,Quarnby Seals LLP,Marden Freight,16,16761.08,2026-09-19,Dock 2,Unloaded,bookings@quarnbysealsllp.example
AG-0042,Redmoss Timber Supplies,Copsey Transport,13,507.78,2026-10-27,Dock 1,Arrived,bookings@redmosstimbersup.example
AG-0043,Skelbrook Textiles Ltd,Marden Freight,13,7248.45,2026-10-16,Dock 2,Booked,bookings@skelbrooktextile.example
AG-0044,Thurlow Glassworks PLC,Delwyn Logistics,6,7759.92,2026-11-28,Dock 1,Booked,bookings@thurlowglasswork.example
AG-0045,Uldale Abrasives Group,Ravenhill Haulage,5,17361.82,2026-10-15,Dock 3,Arrived,bookings@uldaleabrasivesg.example
AG-0046,Vernham Bearings Works,Copsey Transport,22,13765.26,2026-10-19,Dock 2,Arrived,bookings@vernhambearingsw.example
AG-0047,Westhorpe Fasteners LLP,Marden Freight,15,10860.95,2027-01-21,Dock 1,Arrived,bookings@westhorpefastene.example
AG-0048,Yarborne Castings Supplies,Ravenhill Haulage,3,14753.95,2026-10-14,Dock 3,Arrived,bookings@yarbornecastings.example
AG-0049,Tarnwick Packaging Ltd,Delwyn Logistics,11,2893.64,2026-10-14,Dock 3,Booked,bookings@tarnwickpackagin.example
AG-0050,Beckhurst Coatings PLC,Ravenhill Haulage,30,16504.35,2026-09-21,Dock 2,Booked,bookings@beckhurstcoating.example
AG-0051,Colwyn Insulation Group,Delwyn Logistics,26,8208.23,2027-02-17,Dock 2,Arrived,bookings@colwyninsulation.example
AG-0052,Drayfold Adhesives Works,Marden Freight,26,4889.65,2027-01-17,Dock 2,Booked,bookings@drayfoldadhesive.example
AG-0053,Elverton Seals LLP,Marden Freight,3,9690.13,2026-12-23,Dock 1,Unloaded,bookings@elvertonsealsllp.example
AG-0054,Fossgate Timber Supplies,Copsey Transport,13,14776.76,2026-10-15,Dock 1,Booked,bookings@fossgatetimbersu.example
AG-0055,Grindale Textiles Ltd,Marden Freight,5,7977.91,2026-09-26,Dock 1,Booked,bookings@grindaletextiles.example
AG-0056,Halverne Glassworks PLC,Marden Freight,14,6077.5,2026-12-25,Dock 1,Booked,bookings@halverneglasswor.example
AG-0057,Inglebrook Abrasives Group,Marden Freight,22,13264.06,2026-10-20,Dock 3,Booked,bookings@inglebrookabrasi.example
AG-0058,Jarrowmere Bearings Works,Copsey Transport,31,13207.16,2026-10-15,Dock 3,Arrived,bookings@jarrowmerebearin.example
AG-0059,Kelsall Fasteners LLP,Copsey Transport,32,8464.03,2026-12-28,Dock 1,Booked,bookings@kelsallfasteners.example
AG-0060,Lindholme Castings Supplies,Delwyn Logistics,30,6782.04,2026-09-25,Dock 1,Unloaded,bookings@lindholmecasting.example
AG-0061,Marfield Packaging Ltd,Marden Freight,21,9136.76,2026-09-15,Dock 2,Booked,bookings@marfieldpackagin.example
AG-0062,Nethercote Coatings PLC,Ravenhill Haulage,7,6297.96,2027-01-19,Dock 1,Booked,bookings@nethercotecoatin.example
AG-0063,Orrell Insulation Group,Copsey Transport,28,10955.84,2026-10-13,Dock 2,Arrived,bookings@orrellinsulation.example
AG-0064,Pelsham Adhesives Works,Copsey Transport,12,18599.16,2026-09-21,Dock 2,Unloaded,bookings@pelshamadhesives.example
AG-0065,Quarnby Seals LLP,Ravenhill Haulage,9,5496.66,2026-12-22,Dock 1,Unloaded,bookings@quarnbysealsllp.example
AG-0066,Redmoss Timber Supplies,Marden Freight,32,1827.35,2027-02-19,Dock 3,Booked,bookings@redmosstimbersup.example
AG-0067,Skelbrook Textiles Ltd,Marden Freight,31,4661.99,2026-09-16,Dock 3,Booked,bookings@skelbrooktextile.example
AG-0068,Thurlow Glassworks PLC,Copsey Transport,15,19067.83,2026-10-25,Dock 1,Booked,bookings@thurlowglasswork.example
AG-0069,Uldale Abrasives Group,Delwyn Logistics,11,1813.22,2026-10-21,Dock 2,Booked,bookings@uldaleabrasivesg.example
AG-0070,Vernham Bearings Works,Delwyn Logistics,9,8110.08,2027-02-18,Dock 2,Arrived,bookings@vernhambearingsw.example
AG-0071,Westhorpe Fasteners LLP,Copsey Transport,12,750.77,2026-12-14,Dock 2,Booked,bookings@westhorpefastene.example
AG-0072,Yarborne Castings Supplies,Marden Freight,18,4522.03,2026-11-13,Dock 1,Unloaded,bookings@yarbornecastings.example
AG-0073,Tarnwick Packaging Ltd,Delwyn Logistics,15,18831.95,2026-12-26,Dock 1,Arrived,bookings@tarnwickpackagin.example
AG-0074,Beckhurst Coatings PLC,Delwyn Logistics,24,644.74,2027-01-13,Dock 2,Unloaded,bookings@beckhurstcoating.example
AG-0075,Colwyn Insulation Group,Copsey Transport,27,16189.83,2027-02-18,Dock 3,Booked,bookings@colwyninsulation.example
AG-0076,Drayfold Adhesives Works,Ravenhill Haulage,1,4212.43,2027-01-20,Dock 3,Arrived,bookings@drayfoldadhesive.example
AG-0077,Elverton Seals LLP,Marden Freight,28,17757.31,2026-12-16,Dock 2,Booked,bookings@elvertonsealsllp.example
AG-0078,Fossgate Timber Supplies,Marden Freight,5,14862.56,2026-10-13,Dock 2,Booked,bookings@fossgatetimbersu.example
AG-0079,Grindale Textiles Ltd,Marden Freight,12,18314.2,2026-12-20,Dock 2,Unloaded,bookings@grindaletextiles.example
AG-0080,Halverne Glassworks PLC,Copsey Transport,33,4137.82,2026-09-25,Dock 1,Unloaded,bookings@halverneglasswor.example
AG-0081,Inglebrook Abrasives Group,Ravenhill Haulage,5,17222.85,2026-10-22,Dock 3,Arrived,bookings@inglebrookabrasi.example
AG-0082,Jarrowmere Bearings Works,Ravenhill Haulage,22,12778.01,2027-02-18,Dock 2,Arrived,bookings@jarrowmerebearin.example
AG-0083,Kelsall Fasteners LLP,Copsey Transport,32,8246.27,2027-02-25,Dock 1,Unloaded,bookings@kelsallfasteners.example
AG-0084,Lindholme Castings Supplies,Marden Freight,10,5039.98,2027-02-18,Dock 1,Arrived,bookings@lindholmecasting.example
AG-0085,Marfield Packaging Ltd,Copsey Transport,14,4402.76,2026-09-24,Dock 3,Booked,bookings@marfieldpackagin.example
AG-0086,Nethercote Coatings PLC,Marden Freight,17,6963.95,2026-10-19,Dock 1,Unloaded,bookings@nethercotecoatin.example
AG-0087,Orrell Insulation Group,Marden Freight,6,13592.44,2026-09-14,Dock 3,Arrived,bookings@orrellinsulation.example
AG-0088,Pelsham Adhesives Works,Copsey Transport,10,788.77,2027-01-26,Dock 3,Booked,bookings@pelshamadhesives.example
AG-0089,Quarnby Seals LLP,Copsey Transport,12,1515.12,2027-01-28,Dock 3,Booked,bookings@quarnbysealsllp.example
AG-0090,Redmoss Timber Supplies,Ravenhill Haulage,30,13957.37,2027-01-17,Dock 1,Arrived,bookings@redmosstimbersup.example
AG-0091,Skelbrook Textiles Ltd,Copsey Transport,17,1009.96,2026-12-20,Dock 3,Arrived,bookings@skelbrooktextile.example
AG-0092,Thurlow Glassworks PLC,Marden Freight,17,11142.24,2027-02-21,Dock 1,Booked,bookings@thurlowglasswork.example
AG-0093,Uldale Abrasives Group,Ravenhill Haulage,31,5631.82,2026-12-26,Dock 1,Booked,bookings@uldaleabrasivesg.example
AG-0094,Vernham Bearings Works,Marden Freight,16,18525.85,2027-01-14,Dock 3,Booked,bookings@vernhambearingsw.example
AG-0095,Westhorpe Fasteners LLP,Delwyn Logistics,22,15275.86,2027-01-26,Dock 3,Booked,bookings@westhorpefastene.example
AG-0096,Yarborne Castings Supplies,Marden Freight,16,2890.21,2026-11-13,Dock 2,Booked,bookings@yarbornecastings.example
AG-0097,Tarnwick Packaging Ltd,Ravenhill Haulage,17,20040.03,2027-01-20,Dock 2,Unloaded,bookings@tarnwickpackagin.example
AG-0098,Beckhurst Coatings PLC,Copsey Transport,12,14649.03,2027-02-20,Dock 2,Unloaded,bookings@beckhurstcoating.example
AG-0099,Colwyn Insulation Group,Copsey Transport,8,14575.16,2026-11-13,Dock 1,Arrived,bookings@colwyninsulation.example
AG-0100,Drayfold Adhesives Works,Delwyn Logistics,12,6723.72,2027-01-21,Dock 2,Booked,bookings@drayfoldadhesive.example
AG-0101,Elverton Seals LLP,Delwyn Logistics,27,21059.09,2027-02-22,Dock 3,Booked,bookings@elvertonsealsllp.example
AG-0102,Fossgate Timber Supplies,Marden Freight,11,1991.57,2026-09-21,Dock 1,Arrived,bookings@fossgatetimbersu.example
AG-0103,Grindale Textiles Ltd,Delwyn Logistics,33,4387.28,2026-12-19,Dock 2,Arrived,bookings@grindaletextiles.example
AG-0104,Halverne Glassworks PLC,Ravenhill Haulage,9,8797.38,2026-11-19,Dock 2,Booked,bookings@halverneglasswor.example
AG-0105,Inglebrook Abrasives Group,Marden Freight,24,12260.89,2027-02-23,Dock 1,Unloaded,bookings@inglebrookabrasi.example
AG-0106,Jarrowmere Bearings Works,Delwyn Logistics,13,14762.51,2026-10-20,Dock 2,Booked,bookings@jarrowmerebearin.example
AG-0107,Kelsall Fasteners LLP,Copsey Transport,8,20686.78,2026-12-25,Dock 2,Unloaded,bookings@kelsallfasteners.example
AG-0108,Lindholme Castings Supplies,Marden Freight,32,10542.04,2026-12-27,Dock 2,Booked,bookings@lindholmecasting.example
AG-0109,Marfield Packaging Ltd,Ravenhill Haulage,20,11559.17,2026-09-28,Dock 2,Arrived,bookings@marfieldpackagin.example
AG-0110,Nethercote Coatings PLC,Ravenhill Haulage,11,9330.4,2026-11-22,Dock 1,Arrived,bookings@nethercotecoatin.example
AG-0111,Orrell Insulation Group,Marden Freight,15,10595.17,2026-11-16,Dock 3,Booked,bookings@orrellinsulation.example
AG-0112,Pelsham Adhesives Works,Copsey Transport,24,4496.56,2026-10-27,Dock 2,Arrived,bookings@pelshamadhesives.example
AG-0113,Quarnby Seals LLP,Ravenhill Haulage,10,5720.6,2027-01-19,Dock 2,Arrived,bookings@quarnbysealsllp.example
AG-0114,Redmoss Timber Supplies,Marden Freight,14,20859.12,2027-02-26,Dock 1,Unloaded,bookings@redmosstimbersup.example
AG-0115,Skelbrook Textiles Ltd,Ravenhill Haulage,4,20127.76,2026-10-21,Dock 1,Arrived,bookings@skelbrooktextile.example
AG-0116,Thurlow Glassworks PLC,Ravenhill Haulage,32,14662.15,2027-01-26,Dock 3,Arrived,bookings@thurlowglasswork.example
AG-0117,Uldale Abrasives Group,Marden Freight,27,14999.97,2026-12-18,Dock 3,Booked,bookings@uldaleabrasivesg.example
AG-0118,Vernham Bearings Works,Copsey Transport,24,10551.66,2026-12-16,Dock 1,Booked,bookings@vernhambearingsw.example
AG-0119,Westhorpe Fasteners LLP,Marden Freight,5,16359.84,2027-02-23,Dock 1,Unloaded,bookings@westhorpefastene.example
AG-0120,Yarborne Castings Supplies,Copsey Transport,32,17794.26,2026-12-16,Dock 3,Arrived,bookings@yarbornecastings.example
AG-0121,Tarnwick Packaging Ltd,Copsey Transport,11,3464.91,2027-01-14,Dock 1,Arrived,bookings@tarnwickpackagin.example
AG-0122,Beckhurst Coatings PLC,Marden Freight,7,9735.09,2027-01-17,Dock 3,Booked,bookings@beckhurstcoating.example
AG-0123,Colwyn Insulation Group,Marden Freight,10,15236.03,2027-02-16,Dock 2,Booked,bookings@colwyninsulation.example
AG-0124,Drayfold Adhesives Works,Delwyn Logistics,16,12109.75,2026-10-18,Dock 3,Arrived,bookings@drayfoldadhesive.example
AG-0125,Elverton Seals LLP,Marden Freight,9,8414.99,2026-12-28,Dock 2,Booked,bookings@elvertonsealsllp.example
AG-0126,Fossgate Timber Supplies,Copsey Transport,16,17116.41,2026-12-25,Dock 1,Booked,bookings@fossgatetimbersu.example
AG-0127,Grindale Textiles Ltd,Copsey Transport,24,5035.13,2026-11-19,Dock 2,Booked,bookings@grindaletextiles.example
AG-0128,Halverne Glassworks PLC,Marden Freight,21,17016.39,2026-10-25,Dock 1,Unloaded,bookings@halverneglasswor.example
AG-0129,Inglebrook Abrasives Group,Copsey Transport,16,7357.51,2027-01-18,Dock 1,Booked,bookings@inglebrookabrasi.example
AG-0130,Jarrowmere Bearings Works,Copsey Transport,8,13200.51,2026-10-28,Dock 1,Booked,bookings@jarrowmerebearin.example
AG-0131,Kelsall Fasteners LLP,Marden Freight,14,17297.87,2026-09-24,Dock 1,Booked,bookings@kelsallfasteners.example
AG-0132,Lindholme Castings Supplies,Delwyn Logistics,18,12406.7,2026-09-17,Dock 2,Booked,bookings@lindholmecasting.example
AG-0133,Marfield Packaging Ltd,Ravenhill Haulage,8,21092.56,2027-02-14,Dock 1,Unloaded,bookings@marfieldpackagin.example
AG-0134,Nethercote Coatings PLC,Copsey Transport,16,2879.7,2026-11-21,Dock 1,Booked,bookings@nethercotecoatin.example
AG-0135,Orrell Insulation Group,Delwyn Logistics,26,12658.36,2027-01-28,Dock 1,Booked,bookings@orrellinsulation.example
AG-0136,Pelsham Adhesives Works,Copsey Transport,21,9431.93,2026-09-27,Dock 1,Booked,bookings@pelshamadhesives.example
AG-0137,Quarnby Seals LLP,Ravenhill Haulage,33,13524.85,2027-01-14,Dock 1,Booked,bookings@quarnbysealsllp.example
AG-0138,Redmoss Timber Supplies,Marden Freight,7,14339.08,2026-11-23,Dock 1,Booked,bookings@redmosstimbersup.example
AG-0139,Skelbrook Textiles Ltd,Copsey Transport,5,7772.9,2026-12-15,Dock 1,Booked,bookings@skelbrooktextile.example
AG-0140,Thurlow Glassworks PLC,Copsey Transport,21,21296.21,2027-01-15,Dock 2,Booked,bookings@thurlowglasswork.example
AG-0141,Uldale Abrasives Group,Marden Freight,29,3509.59,2027-01-23,Dock 2,Arrived,bookings@uldaleabrasivesg.example
AG-0142,Vernham Bearings Works,Ravenhill Haulage,17,2931.35,2027-02-23,Dock 1,Booked,bookings@vernhambearingsw.example
AG-0143,Westhorpe Fasteners LLP,Ravenhill Haulage,31,3205.4,2026-11-22,Dock 3,Booked,bookings@westhorpefastene.example
AG-0144,Yarborne Castings Supplies,Copsey Transport,17,3903.44,2026-10-19,Dock 2,Unloaded,bookings@yarbornecastings.example
AG-0145,Tarnwick Packaging Ltd,Ravenhill Haulage,4,17221.7,2027-01-28,Dock 1,Unloaded,bookings@tarnwickpackagin.example
AG-0146,Beckhurst Coatings PLC,Ravenhill Haulage,12,19610.54,2026-11-15,Dock 1,Arrived,bookings@beckhurstcoating.example
AG-0147,Colwyn Insulation Group,Marden Freight,32,15588.23,2026-10-25,Dock 2,Booked,bookings@colwyninsulation.example
AG-0148,Drayfold Adhesives Works,Delwyn Logistics,17,12388.7,2026-09-26,Dock 3,Booked,bookings@drayfoldadhesive.example
AG-0149,Elverton Seals LLP,Copsey Transport,8,4081.31,2026-09-25,Dock 2,Booked,bookings@elvertonsealsllp.example
AG-0150,Fossgate Timber Supplies,Copsey Transport,31,19330.76,2026-10-28,Dock 2,Booked,bookings@fossgatetimbersu.example
AG-0151,Grindale Textiles Ltd,Ravenhill Haulage,5,19113.89,2026-12-19,Dock 1,Booked,bookings@grindaletextiles.example
AG-0152,Halverne Glassworks PLC,Ravenhill Haulage,9,10106.89,2027-02-20,Dock 1,Booked,bookings@halverneglasswor.example
AG-0153,Inglebrook Abrasives Group,Marden Freight,24,15657.37,2026-12-27,Dock 3,Booked,bookings@inglebrookabrasi.example
AG-0154,Jarrowmere Bearings Works,Marden Freight,24,5581.13,2026-10-20,Dock 1,Booked,bookings@jarrowmerebearin.example
AG-0155,Kelsall Fasteners LLP,Marden Freight,5,19585.39,2027-02-28,Dock 2,Unloaded,bookings@kelsallfasteners.example
AG-0156,Lindholme Castings Supplies,Ravenhill Haulage,7,1316.12,2026-09-17,Dock 2,Arrived,bookings@lindholmecasting.example
AG-0157,Marfield Packaging Ltd,Ravenhill Haulage,1,17301.67,2026-10-23,Dock 1,Booked,bookings@marfieldpackagin.example
AG-0158,Nethercote Coatings PLC,Delwyn Logistics,32,16143.8,2026-10-13,Dock 2,Booked,bookings@nethercotecoatin.example
AG-0159,Orrell Insulation Group,Ravenhill Haulage,33,16475.75,2027-01-24,Dock 2,Booked,bookings@orrellinsulation.example
AG-0160,Pelsham Adhesives Works,Copsey Transport,29,543.62,2026-09-22,Dock 2,Arrived,bookings@pelshamadhesives.example
AG-0161,Quarnby Seals LLP,Copsey Transport,29,14702.27,2026-11-23,Dock 2,Booked,bookings@quarnbysealsllp.example
AG-0162,Redmoss Timber Supplies,Ravenhill Haulage,14,16126.25,2026-09-20,Dock 2,Booked,bookings@redmosstimbersup.example
AG-0163,Skelbrook Textiles Ltd,Delwyn Logistics,3,15729.58,2027-02-22,Dock 3,Unloaded,bookings@skelbrooktextile.example
AG-0164,Thurlow Glassworks PLC,Ravenhill Haulage,30,5479.72,2026-12-26,Dock 2,Booked,bookings@thurlowglasswork.example
AG-0165,Uldale Abrasives Group,Ravenhill Haulage,29,3600.78,2026-10-28,Dock 3,Booked,bookings@uldaleabrasivesg.example
AG-0166,Vernham Bearings Works,Ravenhill Haulage,19,15878.48,2026-09-16,Dock 3,Booked,bookings@vernhambearingsw.example
AG-0167,Westhorpe Fasteners LLP,Marden Freight,6,13864.68,2026-10-14,Dock 2,Arrived,bookings@westhorpefastene.example
AG-0168,Yarborne Castings Supplies,Ravenhill Haulage,13,15646.94,2027-01-19,Dock 2,Arrived,bookings@yarbornecastings.example
AG-0169,Tarnwick Packaging Ltd,Marden Freight,28,14449.48,2026-11-22,Dock 2,Arrived,bookings@tarnwickpackagin.example
AG-0170,Beckhurst Coatings PLC,Ravenhill Haulage,14,2253.48,2026-10-23,Dock 1,Arrived,bookings@beckhurstcoating.example
AG-0171,Colwyn Insulation Group,Ravenhill Haulage,17,13097.69,2027-02-21,Dock 1,Unloaded,bookings@colwyninsulation.example
AG-0172,Drayfold Adhesives Works,Delwyn Logistics,5,15227.37,2027-02-13,Dock 2,Booked,bookings@drayfoldadhesive.example
AG-0173,Elverton Seals LLP,Marden Freight,32,19856.92,2027-02-13,Dock 1,Booked,bookings@elvertonsealsllp.example
AG-0174,Fossgate Timber Supplies,Delwyn Logistics,33,6174.75,2026-09-16,Dock 2,Booked,bookings@fossgatetimbersu.example
AG-0175,Grindale Textiles Ltd,Copsey Transport,7,6855.18,2026-11-22,Dock 3,Arrived,bookings@grindaletextiles.example
AG-0176,Halverne Glassworks PLC,Copsey Transport,26,9574.67,2026-09-20,Dock 2,Booked,bookings@halverneglasswor.example
AG-0177,Inglebrook Abrasives Group,Marden Freight,25,21412.69,2027-02-23,Dock 3,Arrived,bookings@inglebrookabrasi.example
AG-0178,Jarrowmere Bearings Works,Copsey Transport,12,5818.26,2026-10-25,Dock 3,Booked,bookings@jarrowmerebearin.example
AG-0179,Kelsall Fasteners LLP,Marden Freight,15,823.49,2027-01-16,Dock 3,Unloaded,bookings@kelsallfasteners.example
AG-0180,Lindholme Castings Supplies,Ravenhill Haulage,29,2574.01,2027-02-26,Dock 3,Booked,bookings@lindholmecasting.example
AG-0181,Marfield Packaging Ltd,Ravenhill Haulage,5,3342.89,2026-10-25,Dock 3,Booked,bookings@marfieldpackagin.example
AG-0182,Nethercote Coatings PLC,Delwyn Logistics,23,8920.14,2027-02-19,Dock 1,Booked,bookings@nethercotecoatin.example
AG-0183,Orrell Insulation Group,Ravenhill Haulage,8,21269.44,2026-12-23,Dock 3,Booked,bookings@orrellinsulation.example
AG-0184,Pelsham Adhesives Works,Marden Freight,16,407.62,2026-12-26,Dock 1,Arrived,bookings@pelshamadhesives.example
AG-0185,Quarnby Seals LLP,Ravenhill Haulage,25,7681.46,2027-02-20,Dock 3,Unloaded,bookings@quarnbysealsllp.example
AG-0186,Redmoss Timber Supplies,Ravenhill Haulage,28,19993.3,2026-09-17,Dock 3,Booked,bookings@redmosstimbersup.example
AG-0187,Skelbrook Textiles Ltd,Marden Freight,20,9872.03,2026-10-17,Dock 2,Unloaded,bookings@skelbrooktextile.example
AG-0188,Thurlow Glassworks PLC,Ravenhill Haulage,16,5162.19,2026-11-22,Dock 1,Booked,bookings@thurlowglasswork.example
AG-0189,Uldale Abrasives Group,Delwyn Logistics,19,18509.59,2026-10-13,Dock 2,Booked,bookings@uldaleabrasivesg.example
AG-0190,Vernham Bearings Works,Copsey Transport,28,2861.44,2026-10-24,Dock 1,Booked,bookings@vernhambearingsw.example
AG-0191,Westhorpe Fasteners LLP,Marden Freight,16,11014.57,2026-11-23,Dock 1,Unloaded,bookings@westhorpefastene.example
AG-0192,Yarborne Castings Supplies,Ravenhill Haulage,27,12638.55,2027-01-25,Dock 3,Unloaded,bookings@yarbornecastings.example
AG-0193,Tarnwick Packaging Ltd,Ravenhill Haulage,22,19379.38,2026-10-28,Dock 2,Unloaded,bookings@tarnwickpackagin.example
AG-0194,Beckhurst Coatings PLC,Ravenhill Haulage,8,4223.54,2026-09-20,Dock 3,Booked,bookings@beckhurstcoating.example
AG-0195,Colwyn Insulation Group,Delwyn Logistics,11,8423.82,2026-12-24,Dock 2,Arrived,bookings@colwyninsulation.example
AG-0196,Drayfold Adhesives Works,Copsey Transport,11,14833.21,2027-02-23,Dock 1,Arrived,bookings@drayfoldadhesive.example
AG-0197,Elverton Seals LLP,Ravenhill Haulage,10,19804.75,2026-11-19,Dock 2,Arrived,bookings@elvertonsealsllp.example
AG-0198,Fossgate Timber Supplies,Delwyn Logistics,4,19924.91,2027-01-15,Dock 1,Booked,bookings@fossgatetimbersu.example
AG-0199,Grindale Textiles Ltd,Copsey Transport,29,18146.24,2027-02-14,Dock 2,Booked,bookings@grindaletextiles.example
AG-0200,Halverne Glassworks PLC,Marden Freight,10,532.61,2026-10-15,Dock 3,Booked,bookings@halverneglasswor.example
AG-0201,Inglebrook Abrasives Group,Marden Freight,12,19749.35,2027-02-25,Dock 1,Booked,bookings@inglebrookabrasi.example
AG-0202,Jarrowmere Bearings Works,Ravenhill Haulage,20,2885.42,2026-10-14,Dock 2,Unloaded,bookings@jarrowmerebearin.example
AG-0203,Kelsall Fasteners LLP,Delwyn Logistics,23,19392.73,2026-09-24,Dock 1,Booked,bookings@kelsallfasteners.example
AG-0204,Lindholme Castings Supplies,Delwyn Logistics,12,14212.66,2027-02-16,Dock 1,Arrived,bookings@lindholmecasting.example
AG-0205,Marfield Packaging Ltd,Ravenhill Haulage,13,18772.93,2026-09-28,Dock 1,Booked,bookings@marfieldpackagin.example
