Stock code,Barcode,Bin,Description,Cost centre,Pack qty
00890,05012340022331,0229,Solder ring coupler 28mm,0075,14
00893,05012340022468,0095,PTFE tape 12mm x 12m,0240,29
00896,05012340022605,0113,Speedfit stem elbow 10mm,0075,31
00899,05012340022742,0137,Brass gate valve 22mm,0080,43
00902,05012340022879,0112,Flux paste 100g,0240,8
00905,05012340023016,0058,"Pipe clip 15mm, bag of 50",0115,38
00908,05012340023153,0077,Isolating valve 15mm,0080,4
00911,05012340023290,0082,Waste trap bottle 40mm,0240,43
00914,05012340023427,0070,Compression stop end 28mm,0080,22
00917,05012340023564,0096,Copper pipe 22mm x 3m,0080,35
00920,05012340023701,0026,Reducing coupler 22-15mm,0080,12
00923,05012340023838,0229,Backnut 1/2 inch,0075,1
00926,05012340023975,0139,Tap connector 15mm x 1/2,0075,1
00929,05012340024112,0199,Radiator valve angled 15mm,0115,8
00932,05012340024249,0181,Chrome pipe cover 15mm,0075,4
00935,05012340024386,0044,Solvent cement 250ml,0075,1
00938,05012340024523,0225,Overflow bend 21.5mm,0240,38
00941,05012340024660,0156,Copper pipe 15mm x 3m,0115,37
00944,05012340024797,0063,Compression elbow 22mm,0075,19
00947,05012340024934,0029,Push-fit tee 15mm,0080,20
00950,05012340025071,0068,Solder ring coupler 28mm,0075,42
