Vehicle #,Reg,Make/Model,Odo,In Service,Home Depot,Home Depot
FL-0078,PE19 HSN,Vauxhall Vivaro 2900,100 456,24/02/2026,East,DEP-E
FL-0079,PE24 OUE,Renault Trafic SL28,79 101,10/12/2018,North,DEP-N
FL-0080,WF19 NYY,Ford Transit Custom 300,124 331,21/09/2021,East,DEP-E
FL-0081,WF19 FKM,Mercedes Sprinter 315,141 120,13/03/2022,East,DEP-E
FL-0082,LS21 WRA,Peugeot Boxer 335,208 201,13/04/2021,East,DEP-E
FL-0083,LT20 KCJ,Ford Transit Custom 300,230 999,09/06/2022,East,DEP-E
FL-0084,LS24 SYM,Vauxhall Vivaro 2900,223 633,12/11/2022,South,DEP-S
FL-0085,BX22 NCY,Mercedes Sprinter 317,143 151,13/01/2020,North,DEP-N
FL-0086,SN19 OEP,Renault Trafic SL28,108 151,28/03/2022,South,DEP-S
FL-0087,LT25 FKS,Ford Transit Custom 300,52 825,26/10/2025,South,DEP-S
FL-0088,LS19 GFU,Mercedes Sprinter 315,100 582,14/01/2023,East,DEP-E
FL-0089,SN25 WVA,Renault Trafic SL28,58 175,03/01/2019,Wakefield,DEP-WF
FL-0090,YA21 DOG,Peugeot Boxer 335,164 309,04/02/2024,Wakefield,DEP-WF
FL-0091,PE21 VUR,Vauxhall Vivaro 2900,88 280,17/06/2024,North,DEP-N
FL-0092,SN23 MNE,Ford Transit Custom 300,86 161,09/03/2023,North,DEP-N
FL-0093,MK25 PGX,Mercedes Sprinter 317,233 827,29/12/2024,South,DEP-S
FL-0094,LT23 OLH,Ford Transit Custom 300,169 815,13/10/2018,North,DEP-N
FL-0095,MK23 ELU,Mercedes Sprinter 315,234 404,19/04/2020,East,DEP-E
FL-0096,YA23 WES,Ford Transit 350,234 584,11/01/2022,South,DEP-S
FL-0097,YA19 WTT,Ford Transit Custom 300,95 156,04/10/2022,Wakefield,DEP-WF
FL-0098,SN19 LLU,Mercedes Sprinter 317,195 219,01/01/2021,North,DEP-N
FL-0099,WF23 FKK,Renault Trafic SL28,51 356,14/09/2023,East,DEP-E
FL-0100,MK17 TJU,Mercedes Sprinter 317,117 537,30/12/2020,East,DEP-E
FL-0101,YA16 CME,Vauxhall Vivaro 2900,46 486,09/05/2026,South,DEP-S
FL-0102,SN23 KUD,Vauxhall Vivaro 2900,79 455,07/01/2022,Wakefield,DEP-WF
FL-0103,WF21 DFL,Mercedes Sprinter 317,74 982,05/02/2020,Wakefield,DEP-WF
FL-0104,PE16 KWN,Mercedes Sprinter 317,33 884,21/06/2021,South,DEP-S
FL-0105,YA17 WTO,Renault Trafic SL28,228 680,17/10/2018,North,DEP-N
FL-0106,WF22 KBW,Ford Transit Custom 300,28 488,21/10/2020,Wakefield,DEP-WF
FL-0107,LS23 CFG,Renault Trafic SL28,47 996,03/09/2023,South,DEP-S
FL-0108,LS18 KKD,Mercedes Sprinter 315,157 691,20/08/2019,South,DEP-S
FL-0109,LT20 PYT,Ford Transit Custom 300,168 198,04/10/2019,East,DEP-E
FL-0110,PE17 SPR,Renault Trafic SL28,54 613,03/06/2022,North,DEP-N
FL-0111,PE22 FFA,Peugeot Boxer 335,37 489,28/05/2021,South,DEP-S
FL-0112,MK18 KME,Ford Transit Custom 300,98 039,26/02/2024,East,DEP-E
FL-0113,LT17 URY,Mercedes Sprinter 315,204 953,01/10/2020,North,DEP-N
FL-0114,PE20 DJR,Vauxhall Vivaro 2900,234 251,24/02/2024,North,DEP-N
FL-0115,MK21 LWM,Vauxhall Vivaro 2900,41 428,09/12/2024,Wakefield,DEP-WF
FL-0116,YA21 EED,Renault Trafic SL28,110 597,01/05/2020,South,DEP-S
FL-0117,PE24 HXP,Ford Transit Custom 300,49 132,12/05/2019,Wakefield,DEP-WF
FL-0118,WF20 JBF,Ford Transit Custom 300,113 885,01/01/2026,South,DEP-S
FL-0119,LT19 SSS,Mercedes Sprinter 317,224 195,06/09/2024,North,DEP-N
FL-0120,LS23 FEM,Ford Transit Custom 300,70 968,30/05/2023,North,DEP-N
FL-0121,PE24 YMX,Ford Transit 350,50 389,06/09/2018,North,DEP-N
FL-0122,YA21 PFA,Renault Trafic SL28,80 628,14/08/2023,North,DEP-N
FL-0123,LT25 XTF,Ford Transit 350,179 342,25/05/2018,North,DEP-N
FL-0124,PE23 TSL,Ford Transit Custom 300,106 611,19/04/2025,North,DEP-N
FL-0125,BX21 LSK,Peugeot Boxer 335,164 753,08/02/2022,East,DEP-E
FL-0126,SN19 DKT,Ford Transit 350,117 977,10/10/2023,North,DEP-N
FL-0127,PE16 SVP,Peugeot Boxer 335,229 389,18/08/2019,Wakefield,DEP-WF
FL-0128,LT21 VTA,Ford Transit Custom 300,212 494,23/07/2019,North,DEP-N
FL-0129,PE24 CHN,Renault Trafic SL28,30 087,04/04/2020,East,DEP-E
FL-0130,YA24 DPG,Ford Transit 350,168 036,27/01/2023,North,DEP-N
FL-0131,SN23 TKS,Vauxhall Vivaro 2900,156 781,14/02/2025,East,DEP-E
FL-0132,SN21 RND,Mercedes Sprinter 315,26 952,15/10/2019,East,DEP-E
FL-0133,YA23 CMO,Peugeot Boxer 335,128 747,12/02/2019,East,DEP-E
FL-0134,PE17 SYB,Vauxhall Vivaro 2900,111 422,11/07/2024,Wakefield,DEP-WF
FL-0135,PE24 AAD,Peugeot Boxer 335,237 094,17/07/2020,North,DEP-N
FL-0136,LT21 LKD,Mercedes Sprinter 315,117 819,17/02/2023,East,DEP-E
FL-0137,LS20 ULA,Mercedes Sprinter 317,102 303,27/12/2020,East,DEP-E
FL-0138,LS25 YRU,Renault Trafic SL28,117 321,04/01/2021,North,DEP-N
FL-0139,YA23 XET,Mercedes Sprinter 317,11 123,14/08/2024,North,DEP-N
FL-0140,MK23 BWC,Peugeot Boxer 335,202 966,18/06/2024,South,DEP-S
FL-0141,BX17 DHT,Renault Trafic SL28,18 936,06/10/2025,East,DEP-E
FL-0142,SN24 JCM,Ford Transit 350,58 134,29/04/2026,South,DEP-S
FL-0143,LS25 FSL,Ford Transit 350,143 763,14/02/2025,North,DEP-N
FL-0144,LS17 TJV,Mercedes Sprinter 317,199 554,10/08/2025,North,DEP-N
FL-0145,MK25 AFT,Ford Transit 350,172 622,21/01/2023,South,DEP-S
FL-0146,YA18 KYF,Mercedes Sprinter 317,59 150,26/10/2021,South,DEP-S
FL-0147,SN19 VOV,Mercedes Sprinter 315,18 550,06/09/2023,North,DEP-N
FL-0148,SN24 CGR,Ford Transit Custom 300,119 819,04/04/2024,South,DEP-S
FL-0149,WF19 RDU,Ford Transit 350,193 135,08/01/2023,East,DEP-E
FL-0150,MK25 WGR,Peugeot Boxer 335,74 358,15/03/2026,South,DEP-S
FL-0151,MK19 FEC,Mercedes Sprinter 317,215 011,10/07/2020,Wakefield,DEP-WF
FL-0152,YA19 PSM,Vauxhall Vivaro 2900,117 590,19/10/2020,East,DEP-E
FL-0153,PE22 JNF,Mercedes Sprinter 315,221 235,22/03/2021,South,DEP-S
FL-0154,WF23 YCX,Vauxhall Vivaro 2900,43 960,19/01/2019,South,DEP-S
FL-0155,WF24 VXB,Renault Trafic SL28,117 427,17/12/2024,North,DEP-N
FL-0156,BX18 EVD,Renault Trafic SL28,85 662,29/09/2025,Wakefield,DEP-WF
FL-0157,MK18 ECO,Ford Transit 350,61 459,20/01/2019,South,DEP-S
FL-0158,MK25 RWB,Renault Trafic SL28,70 805,21/11/2018,Wakefield,DEP-WF
FL-0159,YA22 YED,Vauxhall Vivaro 2900,70 188,11/05/2021,Wakefield,DEP-WF
FL-0160,BX25 JCW,Mercedes Sprinter 317,101 245,08/02/2020,Wakefield,DEP-WF
FL-0161,PE19 PBK,Peugeot Boxer 335,236 254,13/03/2020,East,DEP-E
FL-0162,SN18 BPC,Vauxhall Vivaro 2900,22 419,01/10/2024,South,DEP-S
FL-0163,SN24 AOM,Peugeot Boxer 335,206 787,05/11/2019,East,DEP-E
FL-0164,LS25 BLT,Vauxhall Vivaro 2900,50 240,07/10/2022,Wakefield,DEP-WF
FL-0165,SN19 POM,Vauxhall Vivaro 2900,89 426,07/09/2020,North,DEP-N
FL-0166,WF17 EEH,Ford Transit Custom 300,187 708,02/03/2024,North,DEP-N
FL-0167,WF18 MMN,Vauxhall Vivaro 2900,231 249,19/06/2024,East,DEP-E
FL-0168,LS22 JUP,Mercedes Sprinter 315,158 930,12/08/2020,East,DEP-E
FL-0169,WF22 XJF,Mercedes Sprinter 315,124 320,01/07/2025,East,DEP-E
FL-0170,LT16 YTC,Peugeot Boxer 335,223 639,10/10/2022,South,DEP-S
FL-0171,SN24 NRU,Peugeot Boxer 335,214 316,11/04/2019,East,DEP-E
FL-0172,BX23 CWH,Peugeot Boxer 335,226 010,13/10/2018,East,DEP-E
FL-0173,SN19 WXA,Ford Transit 350,217 153,17/12/2018,Wakefield,DEP-WF
FL-0174,YA23 EJE,Vauxhall Vivaro 2900,124 642,22/05/2025,Wakefield,DEP-WF
FL-0175,SN19 SOF,Renault Trafic SL28,203 441,13/03/2023,Wakefield,DEP-WF
FL-0176,YA16 AFF,Ford Transit 350,110 486,01/06/2021,North,DEP-N
FL-0177,PE20 OLG,Mercedes Sprinter 317,112 287,03/07/2018,East,DEP-E
FL-0178,SN22 LCO,Vauxhall Vivaro 2900,5 606,02/06/2025,South,DEP-S
FL-0179,YA24 GPR,Mercedes Sprinter 315,40 384,28/09/2020,North,DEP-N
FL-0180,LT20 VBM,Peugeot Boxer 335,210 256,23/07/2019,South,DEP-S
FL-0181,LS16 XXV,Ford Transit Custom 300,64 406,20/12/2018,North,DEP-N
FL-0182,MK16 GLC,Renault Trafic SL28,123 523,03/06/2020,East,DEP-E
FL-0183,LS24 VLH,Renault Trafic SL28,189 907,27/06/2019,South,DEP-S
FL-0184,PE22 EVT,Mercedes Sprinter 315,139 834,14/09/2022,Wakefield,DEP-WF
FL-0185,LS25 HJP,Mercedes Sprinter 317,106 486,17/01/2019,South,DEP-S
FL-0186,MK19 TPW,Ford Transit Custom 300,233 708,02/09/2021,East,DEP-E
FL-0187,YA20 NRK,Ford Transit Custom 300,145 263,20/03/2023,East,DEP-E
FL-0188,SN21 JUO,Peugeot Boxer 335,48 674,07/01/2021,South,DEP-S
FL-0189,LS25 JEX,Peugeot Boxer 335,69 211,13/09/2021,South,DEP-S
FL-0190,SN22 ERU,Renault Trafic SL28,109 698,17/04/2020,South,DEP-S
FL-0191,WF18 PFY,Peugeot Boxer 335,66 155,25/12/2024,South,DEP-S
FL-0192,PE24 YFX,Vauxhall Vivaro 2900,222 639,30/04/2026,East,DEP-E
FL-0193,YA19 ANE,Mercedes Sprinter 315,151 432,10/11/2019,East,DEP-E
FL-0194,PE19 VKJ,Vauxhall Vivaro 2900,154 062,16/03/2024,South,DEP-S
FL-0195,BX17 WWY,Peugeot Boxer 335,210 791,31/01/2025,South,DEP-S
FL-0196,PE22 MKC,Peugeot Boxer 335,44 120,25/02/2025,South,DEP-S
FL-0197,LT23 HCU,Ford Transit Custom 300,24 871,03/04/2025,South,DEP-S
FL-0198,PE17 RBF,Peugeot Boxer 335,5 258,08/11/2021,North,DEP-N
FL-0199,YA23 VDL,Mercedes Sprinter 317,165 854,26/06/2025,Wakefield,DEP-WF
FL-0200,PE24 DKE,Ford Transit Custom 300,11 945,14/05/2022,Wakefield,DEP-WF
FL-0201,LT21 TFX,Ford Transit Custom 300,27 978,11/09/2018,North,DEP-N
FL-0202,PE23 RAL,Mercedes Sprinter 317,58 640,06/10/2023,East,DEP-E
FL-0203,WF19 ANJ,Mercedes Sprinter 317,38 651,19/05/2023,North,DEP-N
FL-0204,WF17 RVV,Mercedes Sprinter 315,91 829,17/11/2025,North,DEP-N
FL-0205,LS16 ABP,Mercedes Sprinter 315,161 319,05/11/2020,East,DEP-E
FL-0206,MK23 XCD,Mercedes Sprinter 315,197 469,05/07/2019,South,DEP-S
FL-0207,YA16 LWA,Peugeot Boxer 335,235 600,03/06/2019,South,DEP-S
FL-0208,BX24 NMG,Mercedes Sprinter 317,238 696,27/03/2020,East,DEP-E
FL-0209,WF17 MTU,Ford Transit 350,83 878,22/02/2024,North,DEP-N
FL-0210,BX22 DCV,Vauxhall Vivaro 2900,224 963,06/01/2021,North,DEP-N
FL-0211,WF21 BYU,Peugeot Boxer 335,233 217,23/01/2026,East,DEP-E
FL-0212,PE22 HEH,Renault Trafic SL28,142 936,06/06/2020,South,DEP-S
FL-0213,YA19 JVA,Mercedes Sprinter 315,179 377,30/01/2025,South,DEP-S
FL-0214,YD22 NPZ,Vauxhall Vivaro 2900,88 402,14/03/2022,South,DEP-S
