Date,Transaction Type,No.,Memo/Description,Account No.,Account,Debit,Credit,Created By,Created
01/06/2025,Bill,1010,Reimbursement 4219,6250,Software subscriptions,"5,032.16",,System Administrator,01/06/2025 4:14:14 PM
,,,Reimbursement 4219,2010,Accounts payable,,"5,032.16",,
01/06/2025,Sales Receipt,1020,Licence renewal 4241,1010,Cash and cash equivalents:Operating account,"3,916.22",,d.okonkwo,01/06/2025 11:32:17 PM
,,,Licence renewal 4241,4010,Revenue:Product,,"3,263.52",,
,,,Licence renewal 4241,2100,Sales tax payable,,652.70,,
01/06/2025,Bill Payment (Check),1036,Payment to supplier 4276,2010,Accounts payable,"2,445.65",,d.okonkwo,01/06/2025 4:53:58 AM
,,,Payment to supplier 4276,1010,Cash and cash equivalents:Operating account,,"2,445.65",,
01/06/2025,Payment,1056,Customer payment 4312,1010,Cash and cash equivalents:Operating account,"7,597.24",,a.varga,01/06/2025 12:39:05 PM
,,,Customer payment 4312,1200,Accounts receivable,,"7,597.24",,
01/07/2025,Journal Entry,1014,Deferred revenue release,2400,Deferred revenue,"1,502.20",,m.laurent,01/07/2025 12:21:40 AM
,,,Deferred revenue release,4020,Revenue:Services,,"1,502.20",,
01/07/2025,Invoice,1022,Licence renewal 4244,1200,Accounts receivable,"15,656.39",,System Administrator,01/07/2025 3:43:53 PM
,,,Licence renewal 4244,4010,Revenue:Product,,"13,046.99",,
,,,Licence renewal 4244,2100,Sales tax payable,,"2,609.40",,
01/07/2025,Invoice,1037,Progress billing 4277,1200,Accounts receivable,"20,959.18",,a.varga,01/07/2025 7:32:58 PM
,,,Progress billing 4277,4010,Revenue:Product,,"17,465.98",,
,,,Progress billing 4277,2100,Sales tax payable,,"3,493.20",,
01/08/2025,Bill,1053,Monthly service 4306,5010,Cost of sales:Materials,"7,817.89",,d.okonkwo,01/08/2025 6:59:23 AM
,,,Monthly service 4306,2010,Accounts payable,,"7,817.89",,
01/09/2025,Bill Payment (Check),1004,Payment to supplier 4209,2010,Accounts payable,"4,462.79",,m.laurent,01/09/2025 5:14:06 PM
,,,Payment to supplier 4209,1010,Cash and cash equivalents:Operating account,,"4,462.79",,
01/09/2025,Payment,1013,Customer payment 4226,1010,Cash and cash equivalents:Operating account,"13,334.62",,m.laurent,01/09/2025 10:06:42 PM
,,,Customer payment 4226,1200,Accounts receivable,,"13,334.62",,
01/09/2025,Invoice,1057,Retainer 4315,1200,Accounts receivable,"15,456.23",,s.pettersen,01/09/2025 6:34:20 AM
,,,Retainer 4315,4020,Revenue:Services,,"12,880.19",,
,,,Retainer 4315,02100,Sales tax payable,,"2,576.04",,
01/10/2025,Journal Entry,1058,Depreciation for the period,6600,Depreciation,"3,684.90",,s.pettersen,01/10/2025 4:52:41 AM
,,,Depreciation for the period,1790,Accumulated depreciation,,"3,684.90",,
01/11/2025,Payment,1003,Customer payment 4206,1010,Cash and cash equivalents:Operating account,"8,711.16",,d.okonkwo,01/11/2025 7:59:29 AM
,,,Customer payment 4206,1200,Accounts receivable,,"8,711.16",,
01/12/2025,Expense,1041,Reimbursement 4285,6300,Marketing,97.08,,s.pettersen,01/12/2025 6:36:16 PM
,,,Reimbursement 4285,1010,Cash and cash equivalents:Operating account,,97.08,,
01/12/2025,Bill Payment (Check),1044,Payment to supplier 4290,2010,Accounts payable,"13,546.65",,System Administrator,01/12/2025 12:39:28 PM
,,,Payment to supplier 4290,1010,Cash and cash equivalents:Operating account,,"13,546.65",,
01/13/2025,Payment,1040,Customer payment 4283,1010,Cash and cash equivalents:Operating account,"19,115.15",,s.pettersen,01/13/2025 8:54:50 PM
,,,Customer payment 4283,01200,Accounts receivable,,"19,115.15",,
01/14/2025,Invoice,1063,Licence renewal 4326,1200,Accounts receivable,"15,278.30",,s.pettersen,01/14/2025 8:24:24 AM
,,,Licence renewal 4326,4010,Revenue:Product,,"12,731.92",,
,,,Licence renewal 4326,2100,Sales tax payable,,"2,546.38",,
01/14/2025,Credit Memo,1075,Credit note 4351,4090,Sales discounts,"1,406.34",,d.okonkwo,01/14/2025 3:00:56 PM
,,,Credit note 4351,01200,Accounts receivable,,"1,406.34",,
01/15/2025,Bill,1007,Purchase order 4215,6300,Marketing,"2,806.68",,d.okonkwo,01/15/2025 7:03:55 AM
,,,Purchase order 4215,02010,Accounts payable,,"2,806.68",,
01/15/2025,Expense,1035,Supplier invoice 4273,5020,Cost of sales:Freight,"1,127.33",,a.varga,01/15/2025 9:37:09 AM
,,,Supplier invoice 4273,1010,Cash and cash equivalents:Operating account,,"1,127.33",,
01/15/2025,Payment,1055,Customer payment 4311,1010,Cash and cash equivalents:Operating account,"2,413.81",,s.pettersen,01/15/2025 6:44:22 PM
,,,Customer payment 4311,1200,Accounts receivable,,"2,413.81",,
01/16/2025,Bill Payment (Check),1001,Payment to supplier 4202,2010,Accounts payable,"12,111.31",,s.pettersen,01/16/2025 11:50:54 PM
,,,Payment to supplier 4202,1010,Cash and cash equivalents:Operating account,,"12,111.31",,
01/16/2025,Transfer,1019,Transfer between bank accounts,1020,Cash and cash equivalents:Payroll account,"25,101.57",,a.varga,01/16/2025 5:31:43 AM
,,,Transfer between bank accounts,1010,Cash and cash equivalents:Operating account,,"25,101.57",,
01/16/2025,Vendor Credit,1071,Supplier credit 4343,2010,Accounts payable,"1,438.68",,m.laurent,01/16/2025 8:35:34 AM
,,,Supplier credit 4343,5010,Cost of sales:Materials,,"1,438.68",,
01/16/2025,Credit Memo,1074,Credit note 4349,4090,Sales discounts,"1,489.89",496.63,m.laurent,01/16/2025 3:34:24 PM
,,,Credit note 4349,1200,Accounts receivable,,"1,489.89",,
01/17/2025,Sales Receipt,1005,Progress billing 4211,1010,Cash and cash equivalents:Operating account,737.28,,m.laurent,01/17/2025 3:09:09 AM
,,,Progress billing 4211,4010,Revenue:Product,,614.40,,
,,,Progress billing 4211,2100,Sales tax payable,,122.88,,
01/17/2025,Journal Entry,1042,Deferred revenue release,2400,Deferred revenue,"1,458.76",,System Administrator,01/17/2025 9:25:19 PM
,,,Deferred revenue release,4020,Revenue:Services,,"1,458.76",,
01/18/2025,Invoice,1018,Progress billing 4237,1200,Accounts receivable,"18,942.53",,System Administrator,01/18/2025 11:56:44 PM
,,,Progress billing 4237,4010,Revenue:Product,,"15,785.44",,
,,,Progress billing 4237,2100,Sales tax payable,,"3,157.09",,
01/18/2025,Expense,1028,Supplier invoice 4258,06400,Travel and entertainment,"1,512.11",,d.okonkwo,01/18/2025 3:55:59 PM
,,,Supplier invoice 4258,1010,Cash and cash equivalents:Operating account,,"1,512.11",,
01/18/2025,Bill,1038,Supplier invoice 4279,6300,Marketing,"10,153.96",,m.laurent,01/18/2025 9:51:27 AM
,,,Supplier invoice 4279,2010,Accounts payable,,"10,153.96",,
01/18/2025,Invoice,1049,Licence renewal 4298,1200,Accounts receivable,"3,859.96",,a.varga,01/18/2025 6:00:19 PM
,,,Licence renewal 4298,4010,Revenue:Product,,"3,216.63",,
,,,Licence renewal 4298,2100,Sales tax payable,,643.33,,
01/18/2025,Payment,1054,Customer payment 4308,1010,Cash and cash equivalents:Operating account,"12,086.57",,d.okonkwo,01/18/2025 10:41:18 PM
,,,Customer payment 4308,1200,Accounts receivable,,"12,086.57",,
01/19/2025,Payment,1017,Customer payment 4236,1010,Cash and cash equivalents:Operating account,"6,175.53",,s.pettersen,01/19/2025 7:09:26 PM
,,,Customer payment 4236,1200,Accounts receivable,,"6,175.53",,
01/19/2025,Payment,1033,Customer payment 4267,1010,Cash and cash equivalents:Operating account,"8,942.35",,s.pettersen,01/19/2025 4:33:36 PM
,,,Customer payment 4267,1200,Accounts receivable,,"8,942.35",,
01/19/2025,Bill,1051,Supplier invoice 4302,6300,Marketing,"11,424.31",,m.laurent,01/19/2025 11:13:21 AM
,,,Supplier invoice 4302,2010,Accounts payable,,"11,424.31",,
01/19/2025,Expense,1052,Monthly service 4304,6200,Professional fees,"1,392.39",,System Administrator,01/19/2025 5:52:15 PM
,,,Monthly service 4304,1010,Cash and cash equivalents:Operating account,,"1,392.39",,
01/20/2025,Payment,1015,Customer payment 4231,1010,Cash and cash equivalents:Operating account,"14,651.89",,s.pettersen,01/20/2025 8:59:07 AM
,,,Customer payment 4231,1200,Accounts receivable,,"14,651.89",,
01/20/2025,Bill Payment (Check),1023,Payment to supplier 4247,2010,Accounts payable,"8,644.65",,d.okonkwo,01/20/2025 5:07:29 AM
,,,Payment to supplier 4247,1010,Cash and cash equivalents:Operating account,,"8,644.65",,
01/20/2025,Bill,1045,Monthly service 4291,6100,Rent,"2,082.04",,m.laurent,01/20/2025 5:39:07 PM
,,,Monthly service 4291,2010,Accounts payable,,"2,082.04",,
01/21/2025,Payment,1029,Customer payment 4259,1010,Cash and cash equivalents:Operating account,"10,636.36","3,545.45",d.okonkwo,01/21/2025 6:05:24 AM
,,,Customer payment 4259,1200,Accounts receivable,,"10,636.36",,
01/21/2025,Payment,1062,Customer payment 4323,1010,Cash and cash equivalents:Operating account,"14,235.09",,a.varga,01/21/2025 4:06:49 AM
,,,Customer payment 4323,1200,Accounts receivable,,"14,235.09",,
01/21/2025,Expense,1067,Monthly service 4336,6300,Marketing,"2,123.55",,d.okonkwo,01/21/2025 2:26:23 PM
,,,Monthly service 4336,1010,Cash and cash equivalents:Operating account,,"2,123.55",,
01/22/2025,Payment,1034,Customer payment 4270,1010,Cash and cash equivalents:Operating account,"8,494.46-",,System Administrator,01/22/2025 1:39:13 AM
,,,Customer payment 4270,1200,Accounts receivable,,"8,494.46-",,
01/23/2025,Sales Receipt,1009,Invoice 2025-4218,1010,Cash and cash equivalents:Operating account,"1,066.19",,s.pettersen,01/23/2025 4:58:03 PM
,,,Invoice 2025-4218,4010,Revenue:Product,,888.49,,
,,,Invoice 2025-4218,2100,Sales tax payable,,177.70,,
01/23/2025,Sales Receipt,1025,Licence renewal 4252,1010,Cash and cash equivalents:Operating account,"1,164.47",,System Administrator,01/23/2025 9:01:49 PM
,,,Licence renewal 4252,04010,Revenue:Product,,970.39,,
,,,Licence renewal 4252,02100,Sales tax payable,,194.08,,
01/23/2025,Bill Payment (Check),1068,Payment to supplier 4337,2010,Accounts payable,"7,249.84",,s.pettersen,01/23/2025 9:32:56 AM
,,,Payment to supplier 4337,1010,Cash and cash equivalents:Operating account,,"7,249.84",,
01/25/2025,Journal Entry,1064,Prepaid release,6200,Professional fees,"2,565.66",,a.varga,01/25/2025 8:32:07 AM
,,,Prepaid release,1410,Prepaid expenses:Software subscriptions,,"2,565.66",,
01/25/2025,Credit Memo,1072,Credit note 4345,4090,Sales discounts,"1,226.21",,m.laurent,01/25/2025 5:03:55 PM
,,,Credit note 4345,1200,Accounts receivable,,"1,226.21",,
01/26/2025,Expense,1060,Monthly service 4321,6500,Bank charges,"1,395.29",,m.laurent,01/26/2025 11:24:47 PM
,,,Monthly service 4321,1010,Cash and cash equivalents:Operating account,,"1,395.29",,
01/26/2025,Transfer,1073,Transfer between bank accounts,1020,Cash and cash equivalents:Payroll account,"15,121.45",,d.okonkwo,01/26/2025 5:25:23 PM
,,,Transfer between bank accounts,1010,Cash and cash equivalents:Operating account,,"15,121.44",,
01/27/2025,Bill,1032,Supplier invoice 4266,6500,Bank charges,"8,978.87",,a.varga,01/27/2025 12:54:58 AM
,,,Supplier invoice 4266,2010,Accounts payable,,"8,978.87",,
01/27/2025,Bill,1070,Supplier invoice 4341,5020,Cost of sales:Freight,"7,806.12",,System Administrator,01/27/2025 1:41:50 PM
,,,Supplier invoice 4341,2010,Accounts payable,,"7,806.12",,
01/28/2025,Invoice,1016,Retainer 4234,1200,Accounts receivable,"6,393.54",,System Administrator,01/28/2025 4:53:34 PM
,,,Retainer 4234,04010,Revenue:Product,,"5,327.95",,
,,,Retainer 4234,2100,Sales tax payable,,"1,065.59",,
01/28/2025,Bill Payment (Check),1046,Payment to supplier 4293,2010,Accounts payable,"9,122.41",,m.laurent,01/28/2025 5:58:55 AM
,,,Payment to supplier 4293,1010,Cash and cash equivalents:Operating account,,"9,122.41",,
01/29/2025,Credit Memo,1002,Credit note 4203,4090,Sales discounts,"1,365.47",,System Administrator,01/29/2025 5:51:56 PM
,,,Credit note 4203,1200,Accounts receivable,,"1,365.47",,
01/30/2025,Payment,1012,Customer payment 4223,1010,Cash and cash equivalents:Operating account,"6,352.27",,s.pettersen,01/30/2025 10:21:19 AM
,,,Customer payment 4223,01200,Accounts receivable,,"6,352.27",,
01/30/2025,Vendor Credit,1050,Supplier credit 4300,2010,Accounts payable,179.22,,a.varga,01/30/2025 12:11:23 PM
,,,Supplier credit 4300,5020,Cost of sales:Freight,,179.22,,
01/30/2025,Bill Payment (Check),1059,Payment to supplier 4320,2010,Accounts payable,"11,096.08",,System Administrator,01/30/2025 10:59:42 PM
,,,Payment to supplier 4320,1010,Cash and cash equivalents:Operating account,,"11,096.08",,
,,,Total for January 2025,,,"513,774.17","513,774.17",,
02/01/2025,Journal Entry,1102,Depreciation for the period,6600,Depreciation,"3,609.97",,a.varga,02/01/2025 1:32:31 PM
,,,Depreciation for the period,1790,Accumulated depreciation,,"3,609.97",,
02/01/2025,Bill,1122,Supplier invoice 4448,6420,Travel and entertainment:Conferences,"8,346.58",,a.varga,02/01/2025 10:03:42 AM
,,,Supplier invoice 4448,2010,Accounts payable,,"8,346.58",,
02/02/2025,Journal Entry,1087,Reclassification,6200,Professional fees,914.85,,s.pettersen,02/02/2025 12:42:53 PM
,,,Reclassification,6300,Marketing,,914.85,,
02/02/2025,Expense,1093,Purchase order 4389,5010,Cost of sales:Materials,"1,732.18",,s.pettersen,02/02/2025 6:34:57 AM
,,,Purchase order 4389,1010,Cash and cash equivalents:Operating account,,"1,732.18",,
02/02/2025,Expense,1094,Reimbursement 4391,6110,Utilities,"2,069.22",,d.okonkwo,02/02/2025 9:21:10 PM
,,,Reimbursement 4391,1010,Cash and cash equivalents:Operating account,,"2,069.22",,
02/05/2025,Bill Payment (Check),1124,Payment to supplier 4451,2010,Accounts payable,"9,781.93",,System Administrator,02/05/2025 4:41:05 AM
,,,Payment to supplier 4451,1010,Cash and cash equivalents:Operating account,,"9,781.93",,
02/06/2025,Sales Receipt,1101,Licence renewal 4400,1010,Cash and cash equivalents:Operating account,"1,898.48",,d.okonkwo,02/06/2025 4:13:06 PM
,,,Licence renewal 4400,4010,Revenue:Product,,"1,582.07",,
,,,Licence renewal 4400,2100,Sales tax payable,,316.41,,
02/06/2025,Payment,1114,Customer payment 4431,1010,Cash and cash equivalents:Operating account,"19,542.95",,s.pettersen,02/06/2025 12:10:10 AM
,,,Customer payment 4431,1200,Accounts receivable,,"19,542.95",,
02/07/2025,Expense,1115,Purchase order 4433,5020,Cost of sales:Freight,"1,577.19",,m.laurent,02/07/2025 11:38:55 PM
,,,Purchase order 4433,01010,Cash and cash equivalents:Operating account,,"1,577.19",,
02/07/2025,Bill Payment (Check),1126,Payment to supplier 4456,2010,Accounts payable,"2,400.38",,m.laurent,02/07/2025 4:21:04 PM
,,,Payment to supplier 4456,1010,Cash and cash equivalents:Operating account,,"2,400.38",,
02/08/2025,Bill,1077,Monthly service 4355,6100,Rent,"6,987.92",,m.laurent,02/08/2025 8:09:43 AM
,,,Monthly service 4355,2010,Accounts payable,,"6,987.92",,
02/08/2025,Payment,1078,Customer payment 4358,1010,Cash and cash equivalents:Operating account,"3,350.58",,System Administrator,02/08/2025 1:16:03 AM
,,,Customer payment 4358,1200,Accounts receivable,,"3,350.58",,
02/08/2025,Invoice,1088,Licence renewal 4381,1200,Accounts receivable,"2,689.56",,m.laurent,02/08/2025 2:39:02 PM
,,,Licence renewal 4381,4010,Revenue:Product,,"2,241.30",,
,,,Licence renewal 4381,2100,Sales tax payable,,448.26,,
02/08/2025,Bill,1104,Purchase order 4407,6250,Software subscriptions,"1,488.45",,a.varga,02/08/2025 9:04:17 PM
,,,Purchase order 4407,2010,Accounts payable,,"1,488.45",,
02/08/2025,Invoice,1111,Progress billing 4423,1200,Accounts receivable,"10,753.14",,a.varga,02/08/2025 1:11:52 PM
,,,Progress billing 4423,4020,Revenue:Services,,"8,960.95",,
,,,Progress billing 4423,2100,Sales tax payable,,"1,792.19",,
02/08/2025,Journal Entry,1116,Depreciation for the period,6600,Depreciation,"2,714.07",,a.varga,02/08/2025 9:31:10 PM
,,,Depreciation for the period,1790,Accumulated depreciation,,"2,714.07",,
02/08/2025,Bill,1121,Reimbursement 4447,6250,Software subscriptions,"10,335.65",,m.laurent,02/08/2025 11:44:00 PM
,,,Reimbursement 4447,2010,Accounts payable,,"10,335.65",,
02/09/2025,Journal Entry,1082,Accrual reversal,02050,Accrued liabilities,"4,714.49",,System Administrator,02/09/2025 6:57:32 AM
,,,Accrual reversal,6110,Utilities,,"4,714.49",,
02/09/2025,Journal Entry,1084,Accrual reversal,2050,Accrued liabilities,"2,152.86",,a.varga,02/09/2025 7:41:17 AM
,,,Accrual reversal,5010,Cost of sales:Materials,,"2,152.86",,
02/09/2025,Credit Memo,1086,Credit note 4376,4090,Sales discounts,"1,039.03",,System Administrator,02/09/2025 4:28:59 AM
,,,Credit note 4376,1200,Accounts receivable,,"1,039.03",,
02/09/2025,Credit Memo,1092,Credit note 4388,4090,Sales discounts,279.32,,m.laurent,02/09/2025 8:29:43 AM
,,,Credit note 4388,1200,Accounts receivable,,279.32,,
02/09/2025,Bill Payment (Check),1119,Payment to supplier 4442,2010,Accounts payable,"12,570.08",,m.laurent,02/09/2025 6:18:07 AM
,,,Payment to supplier 4442,1010,Cash and cash equivalents:Operating account,,"12,570.08",,
02/09/2025,Invoice,1133,Licence renewal 4467,01200,Accounts receivable,"17,127.01",,d.okonkwo,02/09/2025 8:28:40 PM
,,,Licence renewal 4467,4010,Revenue:Product,,"14,272.51",,
,,,Licence renewal 4467,2100,Sales tax payable,,"2,854.50",,
02/10/2025,Invoice,1081,Retainer 4365,1200,Accounts receivable,"5,035.46",,m.laurent,02/10/2025 10:02:40 PM
,,,Retainer 4365,4020,Revenue:Services,,"4,196.22",,
,,,Retainer 4365,2100,Sales tax payable,,839.24,,
02/10/2025,Bill Payment (Check),1108,Payment to supplier 4417,2010,Accounts payable,"6,492.83",,System Administrator,02/10/2025 8:01:46 AM
,,,Payment to supplier 4417,1010,Cash and cash equivalents:Operating account,,"6,492.83",,
02/10/2025,Credit Memo,1130,Credit note 4462,4090,Sales discounts,672.64,,a.varga,02/10/2025 10:34:36 PM
,,,Credit note 4462,1200,Accounts receivable,,672.64,,
02/11/2025,Bill Payment (Check),1083,Payment to supplier 4371,2010,Accounts payable,"4,075.31",,m.laurent,02/11/2025 2:59:57 AM
,,,Payment to supplier 4371,1010,Cash and cash equivalents:Operating account,,"4,075.31",,
02/11/2025,Journal Entry,1106,Deferred revenue release,2400,Deferred revenue,"1,809.77",,s.pettersen,02/11/2025 1:59:27 PM
,,,Deferred revenue release,4020,Revenue:Services,,"1,809.77",,
02/11/2025,Credit Memo,1113,Credit note 4428,4090,Sales discounts,"1,649.41",,System Administrator,02/11/2025 3:46:18 PM
,,,Credit note 4428,1200,Accounts receivable,,"1,649.41",,
02/12/2025,Payment,1095,Customer payment 4392,1010,Cash and cash equivalents:Operating account,"4,856.54",,System Administrator,02/12/2025 2:33:24 AM
,,,Customer payment 4392,1200,Accounts receivable,,"4,856.54",,
02/12/2025,Expense,1097,Reimbursement 4396,6100,Rent,554.04,,System Administrator,02/12/2025 5:14:08 AM
,,,Reimbursement 4396,1010,Cash and cash equivalents:Operating account,,554.04,,
02/12/2025,Invoice,1131,Progress billing 4463,1200,Accounts receivable,"21,645.40",,a.varga,02/12/2025 1:44:43 PM
,,,Progress billing 4463,4030,Revenue:Support,,"18,037.83",,
,,,Progress billing 4463,02100,Sales tax payable,,"3,607.57",,
02/12/2025,Expense,1132,Monthly service 4465,6250,Software subscriptions,464.52,,m.laurent,02/12/2025 3:06:50 AM
,,,Monthly service 4465,1010,Cash and cash equivalents:Operating account,,464.52,,
02/13/2025,Journal Entry,1090,Reclassification,5010,Cost of sales:Materials,"2,524.39",,d.okonkwo,02/13/2025 6:41:58 AM
,,,Reclassification,6250,Software subscriptions,,"2,524.39",,
02/13/2025,Bill Payment (Check),1123,Payment to supplier 4449,2010,Accounts payable,"11,997.74",,m.laurent,02/13/2025 5:59:12 PM
,,,Payment to supplier 4449,1010,Cash and cash equivalents:Operating account,,"11,997.74",,
02/14/2025,Bill Payment (Check),1096,Payment to supplier 4393,2010,Accounts payable,799.28,,m.laurent,02/14/2025 7:29:14 AM
,,,Payment to supplier 4393,01010,Cash and cash equivalents:Operating account,,799.28,,
02/15/2025,Invoice,1107,Progress billing 4415,1200,Accounts receivable,"7,542.64-",,s.pettersen,02/15/2025 10:13:35 PM
,,,Progress billing 4415,4020,Revenue:Services,,"6,285.53-",,
,,,Progress billing 4415,02100,Sales tax payable,,"1,257.11-",,
02/15/2025,Bill,1112,Purchase order 4425,6400,Travel and entertainment,"2,215.15",,System Administrator,02/15/2025 10:37:30 PM
,,,Purchase order 4425,02010,Accounts payable,,"2,215.15",,
02/15/2025,Bill,1129,Monthly service 4460,6200,Professional fees,"11,229.02",,a.varga,02/15/2025 7:18:34 AM
,,,Monthly service 4460,2010,Accounts payable,,"11,229.02",,
02/15/2025,Invoice,1135,Progress billing 4472,1200,Accounts receivable,"10,071.34",,s.pettersen,02/15/2025 7:41:47 PM
,,,Progress billing 4472,4020,Revenue:Services,,"8,392.78",,
,,,Progress billing 4472,2100,Sales tax payable,,"1,678.56",,
02/17/2025,Payment,1080,Customer payment 4362,1010,Cash and cash equivalents:Operating account,"4,583.24",,d.okonkwo,02/17/2025 10:40:02 AM
,,,Customer payment 4362,1200,Accounts receivable,,"4,583.24",,
02/17/2025,Invoice,1091,Licence renewal 4386,1200,Accounts receivable,"10,510.07",,d.okonkwo,02/17/2025 10:19:41 PM
,,,Licence renewal 4386,4010,Revenue:Product,,"8,758.39",,
,,,Licence renewal 4386,2100,Sales tax payable,,"1,751.68",,
02/17/2025,Journal Entry,1098,Deferred revenue release,2400,Deferred revenue,"7,182.96",,System Administrator,02/17/2025 4:00:37 PM
,,,Deferred revenue release,4020,Revenue:Services,,"7,182.96",,
02/17/2025,Payment,1120,Customer payment 4444,1010,Cash and cash equivalents:Operating account,"18,949.69",,System Administrator,02/17/2025 4:48:06 PM
,,,Customer payment 4444,1200,Accounts receivable,,"18,949.69",,
02/17/2025,Deposit,1125,Bank deposit 4453,1010,Cash and cash equivalents:Operating account,"4,370.56",,a.varga,02/17/2025 10:13:23 AM
,,,Bank deposit 4453,2400,Deferred revenue,,"4,370.56",,
02/18/2025,Bill,1105,Purchase order 4410,06400,Travel and entertainment,"2,145.40",,d.okonkwo,02/18/2025 11:42:36 AM
,,,Purchase order 4410,2010,Accounts payable,,"2,145.40",,
02/19/2025,Bill,1117,Monthly service 4437,6100,Rent,"4,740.82",,System Administrator,02/19/2025 4:06:48 AM
,,,Monthly service 4437,2010,Accounts payable,,"4,740.82",,
02/21/2025,Sales Receipt,1099,Invoice 2025-4398,1010,Cash and cash equivalents:Operating account,"1,801.92",,d.okonkwo,02/21/2025 6:17:55 PM
,,,Invoice 2025-4398,4010,Revenue:Product,,"1,501.60",,
,,,Invoice 2025-4398,02100,Sales tax payable,,300.32,,
02/21/2025,Vendor Credit,1109,Supplier credit 4420,2010,Accounts payable,557.47,,d.okonkwo,02/21/2025 8:39:06 PM
,,,Supplier credit 4420,6110,Utilities,,557.47,,
02/21/2025,Payment,1110,Customer payment 4422,1010,Cash and cash equivalents:Operating account,"20,059.68",,d.okonkwo,02/21/2025 1:33:36 PM
,,,Customer payment 4422,1200,Accounts receivable,,"20,059.68",,
02/21/2025,Invoice,1134,Progress billing 4469,1200,Accounts receivable,"16,483.79",,d.okonkwo,02/21/2025 11:34:13 PM
