Supplier Number,Company Name,Display Name,SIM Status,Organization Type,Federal Tax ID,DUNS,Country of Operation,Preferred Currency,Payment Term,Invoice Matching Level,Minority Indicator,Minority Type,Primary Contact Email,Pay Group,Risk Tier,Insurance Expiry,Plants Served
V-100052,Alderman Seals Corp,Alderman Seals,active,Partnership,81-8435414,72-252-6974,CA,USD,NET30,3-way,False,,alderman.seals@aldermansea.com,UK-AP,3,09/19/2027,PLT-02
V-100053,Thirlmere Lubricants Inc,Thirlmere Lubricants,active,Corporation,681931614,52906391,United Kingdom,USD,Net 30,3 way,N,,thirlmere.lubricants@thirlmerelub.com,MX-AP,3,05/27/2026,PLT-05
V-100054,Thirlmere Machining Co,Thirlmere Machining,active,LLC,59-5993032,51375305,United States,GBP,Net 30,2 way,N,,thirlmere.machining@thirlmeremac.com,,2,2028-02-18,PLT-02
V-100055,Ingleby Extrusions GmbH,Ingleby Extrusions,Active,Sole Prop,41-3211922,628327164,US,USD,Net 90,2-way,T,VOSB,ingleby.extrusions@inglebyext.com,US-AP,3,2028-06-04,PLT-07;PLT-10;PLT-03;PLT-04
V-100056,Verwood Weldments GmbH,Verwood Weldments,draft,LLC,036078594,110319334,DE,GBP,NET30,none,True,WBE,verwood.weldments@verwoodwel.com,US-AP,Tier 1,2027-01-12,PLT-01;PLT-02
V-100057,Ullswater Logistics Ltd,,Pending,Sole Proprietor,14-5229669,177385777,,MXN,Net 45,None,,,ullswater.logistics@ullswaterlog.com,MX-AP,Tier 3,2028-06-15,PLT-09;PLT-06;PLT-07
V-100058,Oakhurst Pneumatics LLC,,On Hold,Partnership,33-5743388,701307762,US,USD,Due on receipt,none,No,,oakhurst.pneumatics@oakhurstpne.com,EU-AP,2,10/27/2028,PLT-06
V-100059,Netherfield Forgings PLC,,Active,Sole Prop,187078240,274052576,US,EUR,Due on receipt,3-way,N,,netherfield.forgings@netherfieldfor.com,EU-AP,Medium,12/21/2027,PLT-06;PLT-08
V-100060,Verwood Coatings Corp,Verwood Coatings,A,S-Corp,611473859,828820455,US,USD,Net 30,None,False,,verwood.coatings@verwoodcoa.com,CA-AP,3,2026-09-08,PLT-01 / PLT-06
V-100061,Saltburn Forgings Ltd,Saltburn Forgings,A,Corporation,978278446,802974993,Germany,USD,Net 30,Two-way,F,,saltburn.forgings@saltburnfor.com,US-AP,Low,2026-06-06,"PLT-04, PLT-11, PLT-09"
V-100062,Elmswell Fabrication Co,Elmswell Fabrication,Active,Partnership,11-7481603,897913609,,USD,Immediate,3-way,FALSE,,elmswell.fabrication@elmswellfab.com,US-AP,Medium,2027-04-28,"PLT-05, PLT-06"
V-100063,Jarrow Valves LLC,,Active,LLC,92-0156206,784196317,US,EUR,Net 45,3-way,No,,jarrow.valves.jarrowval.com,US-AP,,09/17/2028,PLT-02;PLT-09
V-100064,Castleford Foundry Ltd,,ACTIVE,Corporation,81-8945934,457029218,Canada,USD,N30,3 Way Match,N,,castleford.foundry@castlefordfou.com,US-AP,1,2028-08-27,PLT-12;PLT-01;PLT-10
V-100065,Wolverton Calibration Co,,active,Limited Liability Company,14-3354048,,US,USD,Net 45,none,yes,VOSB,wolverton.calibration@wolvertoncal.com,US-AP,,2026-09-06,PLT-06
V-100066,Grimsby Seals S.A. de C.V.,,inactive,,345339812,,DE,USD,,2 Way Match,FALSE,,ap@grimsbysea.com; grimsby.seals@grimsbysea.com,,High,2028-09-17,PLT-02
V-100067,Marchmont Calibration S.A. de C.V.,Marchmont Calibration,Active,Sole Proprietor,,858357787,US,USD,Net 45,None,,SDVOSB,marchmont.calibration@marchmontcal.com,CA-AP,3,06/12/2028,PLT-10;PLT-07;PLT-09
V-100068,Oakhurst Springs GmbH,Oakhurst Springs,draft,LLC,80-9761448,356170032,US,USD,Net 30,2-way,0,,oakhurst.springs@oakhurstspr.com,,3,2026-12-14,PLT-02
V-100069,Saltburn Castings Ltd,,inactive,Corporation,16-8362543,,US,EUR,Net 30,,yes,HUBZone,saltburn.castings@saltburncas.com,,High,2026-05-06,PLT-08
V-100070,Draycott Fasteners Inc.,Draycott Fasteners,inactive,Corporation,83-4191851,,MX,GBP,Net 45,3-way,0,,draycott.fasteners@draycottfas.com,MX-AP,,,PLT-02;PLT-04;PLT-01
V-100071,Eastgate Bearings Ltd,Eastgate Bearings,Inactive,Sole Proprietor,210709085,642971901,Germany,EUR,Net 45,3 way,Y,WBE,eastgate.bearings@eastgatebea.com,US-AP,,2026-11-25,"PLT-10, PLT-09, PLT-12, PLT-05"
V-100072,Grimsby Seals Corp,Grimsby Seals,active,Partnership,213207834,,CA,CAD,COD,,N,,ap@grimsbysea.com; grimsby.seals@grimsbysea.com,EU-AP,3,2028-07-05,PLT-02
V-100073,Yarborough Springs Inc,Yarborough Springs,Active,Non-Profit,194625264,645015675,United Kingdom,USD,COD,,0,,ap@yarboroughspr.com; yarborough.springs@yarboroughspr.com,US-AP,1,2027-04-23,"PLT-12, PLT-11"
V-100074,Wolverton Hydraulics PLC,Wolverton Hydraulics,Active,Corporation,58-7756606,491970088,,US Dollar,Net 90,2 Way Match,FALSE,,wolverton.hydraulics@wolvertonhyd.com,,Low,03/23/2026,
V-100075,Jarrow Castings Inc,Jarrow Castings,,Corporation,,538465943,USA,MXN,30 days,,F,,jarrow.castings@jarrowcas.com,,Tier 2,2027-02-22,PLT-09
V-100076,Draycott Bearings Co,Draycott Bearings,Pending,LLC,98-9847755,,MX,USD,N30,3-way,FALSE,,draycott.bearings@draycottbea.com,CA-AP,High,2028-06-26,PLT-06;PLT-02;PLT-08
V-100077,Thirlmere Valves S.A. de C.V.,,active,Limited Liability Company,88-3126351,616291627,US,usd,COD,2-way,YES,MBE,thirlmere.valves@thirlmereval.com,UK-AP,3,2026-12-22,PLT-08;PLT-11
V-100078,Marchmont Packaging S.A. de C.V.,,draft,Partnership,01-8866729,,United States,,Net30,2-way,False,,marchmont.packaging@marchmontpac.com,US-AP,,,PLT-02
V-100079,Ballantyne Lubricants GmbH,,Inactive,LLC,729866647,380274606,US,USD,Net 30,3-way,true,MBE,ballantyne.lubricants@ballantynelub.com,US-AP,High,2027-04-09,PLT-10 / PLT-07 / PLT-09
V-100080,Hollingworth Machining PLC,,Pending,Partnership,397635927,242141759,Canada,US Dollar,Net 30,Two-way,F,,hollingworth.machining@hollingworthmac.com,MX-AP,3,,
V-100081,Oakhurst Fabrication Ltd,Oakhurst Fabrication,I,LLC,269598568,253217552,US,CAD,Net 45,none,TRUE,WOSB,oakhurst.fabrication.oakhurstfab.com,US-AP,Low,,PLT-05 / PLT-04 / PLT-02
V-100082,Marchmont Forgings Inc.,Marchmont Forgings,Active,LLC,840082529,386215302,Germany,US Dollar,N30,3 way,false,,marchmont.forgings@marchmontfor.com,,3,2027-09-19,
V-100083,Ullswater Extrusions LLC,,active,Partnership,67-7487870,094920823,GB,USD,Net 45,3 way,FALSE,,ap@ullswaterext.com; ullswater.extrusions@ullswaterext.com,US-AP,,2027-08-21,PLT-06
V-100084,Rushcliffe Abrasives GmbH,Rushcliffe Abrasives,Draft,Sole Proprietor,64-3086851,,USA,USD,Immediate,None,0,,ap@rushcliffeabr.com; rushcliffe.abrasives@rushcliffeabr.com,US-AP,2,2026-01-25,PLT-01
V-100085,Elmswell Weldments LLC,,Active,LLC,639556425,681515319,DE,CAD,Net 15,none,FALSE,,elmswell.weldments@elmswellwel.com,,,2027-02-08,PLT-05;PLT-11
V-100086,Fairweather Castings Ltd.,Fairweather Castings,On Hold,LLC,41-3328637,50885088,US,USD,,2-way,YES,HUBZone,fairweather.castings@fairweathercas.com,US-AP,3,04/02/2026,PLT-12;PLT-05;PLT-02
V-100087,Ullswater Machining PLC,,active,Partnership,,78-848-0206,USA,Euro,,3-way,F,,ullswater.machining@ullswatermac.com,MX-AP,1,,PLT-11 / PLT-02 / PLT-10
V-100088,Rushcliffe Calibration Co,Rushcliffe Calibration,A,Sole Prop,37-7686500,,US,GBP,Net 15,Two-way,no,,,US-AP,,2028-12-07,
V-100089,Ullswater Foundry Ltd,,active,Corporation,09-7292911,98367034,US,US Dollar,Net 30,3-way,False,,ullswater.foundry@ullswaterfou.com,MX-AP,3,2027-10-10,PLT-09 / PLT-06
V-100090,Yarborough Calibration Corp,Yarborough Calibration,ACTIVE,LLC,46-0875882,,USA,EUR,NET30,3-way,false,,yarborough.calibration@yarboroughcal.com,UK-AP,,2026-03-13,
V-100091,Pemberton Tooling PLC,Pemberton Tooling,active,Partnership,44-8962155,54-222-9256,Canada,GBP,,3-way,YES,MBE,ap@pembertontoo.com; pemberton.tooling@pembertontoo.com,EU-AP,Tier 3,2028-11-02,PLT-06;PLT-05;PLT-04;PLT-12
V-100092,Farndale Fabrication Ltd.,Farndale Fabrication,Active,Corporation,842511562,721235053,DE,CAD,Net 15,3-way,N,,farndale.fabrication@farndalefab.com,CA-AP,1,2027-03-17,PLT-06
V-100093,Denholm Bearings S.A. de C.V.,Denholm Bearings,Active,Corporation,96-6327433,446097105,Canada,USD,COD,2 way,FALSE,,denholm.bearings@denholmbea.com,EU-AP,1,2027-01-19,"PLT-01, PLT-09"
V-100094,Draycott Castings Inc,,Pending,Corporation,93-7978069,517695725,United States,USD,Net 30,Three way direct,N,,draycott.castings.draycottcas.com,UK-AP,Medium,2026-02-03,
V-100095,Draycott Gasket Inc.,Draycott Gasket,Active,Corporation,,649704684,US,USD,2/10 Net 30,3-way-direct,False,,draycott.gasket@draycottgas.com,US-AP,High,2026-04-01,PLT-01;PLT-11;PLT-03
V-100096,Ashworth Foundry Corp,,active,Corporation,873442418,,United States,GBP,Net 30,3-way,No,,ashworth.foundry@ashworthfou.com,,Tier 2,,PLT-08;PLT-05
V-100097,Pemberton Fasteners PLC,,I,Corporation,120465784,714536626,USA,EUR,Net 45,Two-way,1,DBE,pemberton.fasteners@pembertonfas.com,US-AP,,2028-08-25,"PLT-01, PLT-05, PLT-03"
,Draycott Seals Inc.,Draycott Seals,A,Limited Liability Company,99-6577700,908805639,DE,USD,Net 90,3-way-direct,YES,DBE,draycott.seals@draycottsea.com,EU-AP,Low,,PLT-12;PLT-05
V-100099,Ashworth Fabrication Corp,,Inactive,LLC,74-3682753,423068274,United States,EUR,Due on receipt,3-way,TRUE,HUBZone,ashworth.fabrication@ashworthfab.com,US-AP,Tier 3,2027-04-15,PLT-02
V-100100,Hollingworth Machining Ltd.,Hollingworth Machining,inactive,LLC,41-5820928,355356598,US,USD,Net 30,2-way,0,,hollingworth.machining@hollingworthmac.com,US-AP,Tier 1,2027-12-26,PLT-12
V-100101,Draycott Hydraulics Corp,Draycott Hydraulics,active,S-Corp,,721519638,DE,EUR,Due on receipt,,no,,draycott.hydraulics@draycotthyd.com,US-AP,Tier 3,2027-05-15,
V-100102,Netherfield Coatings Co,Netherfield Coatings,active,Corporation,85-4564409,188270793,GB,USD,N30,2-way,,,netherfield.coatings@netherfieldcoa.com,UK-AP,3,2028-11-11,PLT-08;PLT-03;PLT-01
V-100103,Elmswell Foundry Ltd.,,inactive,LLC,77-2715746,861362928,US,USD,Net 60,2-way,no,,elmswell.foundry@elmswellfou.com,,3,,PLT-09;PLT-01;PLT-03
V-100104,Kettleby Valves LLC,,active,Corporation,285137050,995640772,US,usd,Net 60,,0,,kettleby.valves@kettlebyval.com,UK-AP,,2028-02-09,PLT-02
V-100105,Brackenridge Bearings S.A. de C.V.,Brackenridge Bearings,active,Partnership,32-7006635,252970321,MX,,NET30,Two-way,,,brackenridge.bearings@brackenridgebea.com,CA-AP,Tier 1,04/01/2028,PLT-11
V-100106,Kettleby Foundry Inc.,Kettleby Foundry,inactive,LLC,554534585,108603451,Germany,USD,Net 90,None,No,,kettleby.foundry@kettlebyfou.com,,1,2027-08-04,PLT-04;PLT-06;PLT-12
V-100107,Denholm Packaging Inc.,Denholm Packaging,draft,Sole Prop,277342042,899942181,United States,MXN,Net 30,2-way,Yes,MBE,denholm.packaging@denholmpac.com,US-AP,Medium,2026-11-26,PLT-04;PLT-06;PLT-07
V-100108,Pemberton Forgings Ltd,Pemberton Forgings,active,Limited Liability Company,94-6649068,99475532,Canada,EUR,Due on receipt,None,yes,WBE,pemberton.forgings@pembertonfor.com,US-AP,2,2026-08-09,"PLT-06, PLT-11, PLT-03"
V-100109,Jarrow Springs S.A. de C.V.,,,Corporation,,552924171,Canada,MXN,Net 45,2 way,,,jarrow.springs@jarrowspr.com,US-AP,,2028-06-01,PLT-12
V-100110,Castleford Fasteners PLC,,active,Corporation,305442297,780747897,Deutschland,USD,Net 30,none,0,,ap@castlefordfas.com; castleford.fasteners@castlefordfas.com,US-AP,2,2028-08-14,PLT-07
V-101395,Netherfield Tooling S.A. de C.V.,,Active,,758603593,281020555,GB,CAD,,Two-way,FALSE,,netherfield.tooling@netherfieldtoo.com,CA-AP,Tier 1,06/05/2026,
V-100112,Thirlmere Coatings Inc.,Thirlmere Coatings,active,LLC,475061463,467132018,,usd,Net 45,3-way,F,,,US-AP,3,08/12/2026,PLT-04;PLT-05;PLT-03
V-100113,Jarrow Plating GmbH,Jarrow Plating,I,Limited Liability Company,847973672,470817286,USA,MXN,Net 30,None,1,Woman-Owned Small Business,jarrow.plating@jarrowpla.com,EU-AP,High,10/25/2027,PLT-05
V-100114,Eastgate Valves Inc,Eastgate Valves,Active,,73-8045035,11371677,USA,USD,Net 45,3-way-direct,F,,eastgate.valves@eastgateval.com,EU-AP,Tier 2,2028-05-21,"PLT-05, PLT-12, PLT-02"
V-100115,Ingleby Weldments Ltd,,draft,LLC,01-9204640,133788749,Germany,,Net 30,none,T,DBE,ingleby.weldments@inglebywel.com,US-AP,,2027-10-12,PLT-08;PLT-09
V-100116,Yarborough Fabrication Co,Yarborough Fabrication,inactive,Corporation,24-3574202,296635951,CA,USD,Net 30,3 Way Match,N,,yarborough.fabrication@yarboroughfab.com,CA-AP,High,2028-05-21,PLT-09;PLT-08
V-100117,Netherfield Gasket Inc,Netherfield Gasket,Pending,Corporation,113992728,418793304,DE,CAD,NET30,3-way-direct,N,,netherfield.gasket@netherfieldgas.com,US-AP,Tier 3,04/01/2028,PLT-11
V-100118,Eastgate Abrasives Inc.,,ACTIVE,Corporation,627722912,769513464,US,CAD,Net 30,2-way,False,,eastgate.abrasives@eastgateabr.com,UK-AP,Low,2027-03-04,PLT-01
V-100119,Brackenridge Coatings GmbH,,inactive,Sole Proprietor,81-8376919,41364461,United Kingdom,EUR,NET30,None,TRUE,VOSB,ap@brackenridgecoa.com; brackenridge.coatings@brackenridgecoa.com,MX-AP,High,2027-06-28,PLT-08
V-100120,Draycott Pneumatics PLC,Draycott Pneumatics,active,LLC,25-7337905,140587423,MX,Euro,N30,3-way-direct,0,,draycott.pneumatics@draycottpne.com,US-AP,,2026-09-20,PLT-03;PLT-10
V-100121,Yarborough Abrasives Ltd.,Yarborough Abrasives,active,Non-Profit,723936854,375019884,United States,USD,2/10 Net 30,3-way,no,,,,High,2026-08-25,PLT-03
V-100122,Saltburn Machining LLC,Saltburn Machining,A,Corporation,507966123,410626524,USA,,Net 30,,FALSE,,saltburn.machining@saltburnmac.com,MX-AP,Low,2026-08-08,"PLT-10, PLT-05"
V-100123,Brackenridge Bearings PLC,,Pending,Corporation,866960422,,GB,EUR,Net 30,3 Way Match,Yes,DBE,brackenridge.bearings@brackenridgebea.com,US-AP,High,07/12/2028,PLT-12
V-100124,Thirlmere Lubricants S.A. de C.V.,Thirlmere Lubricants,active,LLC,064252534,238218062,US,USD,,none,Y,DBE,,UK-AP,2,03/20/2026,PLT-04
V-100125,Ingleby Seals S.A. de C.V.,,active,Corporation,,819099394,GB,USD,Net30,2-way,false,,ingleby.seals@inglebysea.com,EU-AP,2,2027-03-16,PLT-01;PLT-11;PLT-07
V-100126,Pemberton Calibration GmbH,,active,LLC,651516219,155708302,,USD,Net 30,2-way,FALSE,,ap@pembertoncal.com; pemberton.calibration@pembertoncal.com,CA-AP,Low,2026-04-10,PLT-08;PLT-02;PLT-07;PLT-09
V-100127,Wolverton Fasteners S.A. de C.V.,Wolverton Fasteners,draft,Corporation,31-6800152,685181712,US,USD,Net 45,3-way,,,wolverton.fasteners@wolvertonfas.com,EU-AP,2,2028-12-06,PLT-05
V-100128,Brackenridge Lubricants GmbH,,I,Sole Proprietor,721018418,85-734-8903,CA,USD,Net 30,3-way,F,,brackenridge.lubricants@brackenridgelub.com,CA-AP,Tier 1,2027-01-08,PLT-12 / PLT-05 / PLT-09
V-100129,Oakhurst Gasket Ltd,,active,LLC,81-0299072,640808888,DE,CAD,NET30,2 way,no,,oakhurst.gasket@oakhurstgas.com,MX-AP,Medium,10/17/2026,PLT-06 / PLT-04 / PLT-12
